experiment	comment	disease	mean_rank_unseen	median_rank_unseen	n_unseen_in_list	compare_from	num_targets_found	avg_precision	avg_reciprocal_rank_custom	fold_enrichment_top_1_pct	recall_top_1_pct	fold_enrichment_top_5_pct	recall_top_5_pct	fold_enrichment_top_10_pct	recall_top_10_pct	precision_at_10	recall_at_10	precision_at_25	recall_at_25	precision_at_50	recall_at_50	precision_at_100	recall_at_100	precision_at_250	recall_at_250	precision_at_1000	recall_at_1000	mean_rank_seen	median_rank_seen	n_seen_true_positives
ExpC81	hl_only	ad_dee	3812.5781	2618.0	64	2022_09	64	0.0165	0.0016	6.25	0.0625	6.25	0.3125	4.2188	0.4219	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0312	0.028	0.1094	0.021	0.3281	220.9885	173.0	262
ExpC82	hl_only	ar_dee	4900.5435	2993.5	46	2022_09	46	0.0103	0.0014	4.3478	0.0435	5.2174	0.2609	4.1304	0.413	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0435	0.016	0.087	0.015	0.3261	478.2551	361.0	439
ExpC83	hl_only	microcephaly	7096.1087	7209.5	46	2022_09	46	0.0036	0.0004	0.0	0.0	0.8696	0.0435	1.7391	0.1739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0217	0.005	0.1087	415.718	320.5	266
ExpC84	hl_only	intellectual_disability	6940.267	7381.0	221	2022_09	221	0.0193	0.0005	0.0	0.0	1.991	0.0995	2.1719	0.2172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0181	0.032	0.1448	1431.7743	1169.0	1923
ExpC85	hl_only	mnd	3696.1429	597.0	7	2022_09	7	0.0225	0.0197	28.5714	0.2857	11.4286	0.5714	5.7143	0.5714	0.1	0.1429	0.04	0.1429	0.02	0.1429	0.01	0.1429	0.008	0.2857	0.004	0.5714	40.2121	40.5	66
ExpC86	hl_only	ataxia	7285.9286	7443.0	14	2022_09	14	0.0044	0.0032	14.2857	0.1429	2.8571	0.1429	1.4286	0.1429	0.0	0.0	0.0	0.0	0.02	0.0714	0.01	0.0714	0.008	0.1429	0.002	0.1429	200.7269	186.0	227
ExpC87	hl_only	cp	2856.0215	1486.0	233	2022_09	233	0.0871	0.0046	11.588	0.1159	6.9528	0.3476	5.5365	0.5536	0.1	0.0043	0.16	0.0172	0.2	0.0429	0.17	0.073	0.144	0.1545	0.092	0.3948	103.3587	115.0	92
ExpC88	hl_only	arthrogryposis	3899.3182	1390.5	22	2022_09	22	0.0712	0.0548	18.1818	0.1818	9.0909	0.4545	5.0	0.5	0.2	0.0909	0.12	0.1364	0.06	0.1364	0.03	0.1364	0.016	0.1818	0.011	0.5	213.3563	130.5	174
ExpC80	hl_only	dee	3558.4635	2141.0	192	2022_09	192	0.0512	0.0042	6.25	0.0625	5.2083	0.2604	4.4792	0.4479	0.1	0.0052	0.16	0.0208	0.1	0.026	0.1	0.0521	0.084	0.1094	0.062	0.3229	512.2296	447.5	736
ExpC81	hl_only	ad_dee	3825.1094	2594.0	64	2022_09	64	0.014	0.0014	3.125	0.0312	5.9375	0.2969	3.75	0.375	0.0	0.0	0.0	0.0	0.02	0.0156	0.02	0.0312	0.016	0.0625	0.021	0.3281	219.6565	161.5	262
ExpC82	hl_only	ar_dee	4321.1739	2551.0	46	2022_09	46	0.0099	0.0012	2.1739	0.0217	4.7826	0.2391	4.3478	0.4348	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0217	0.008	0.0435	0.014	0.3043	315.9795	270.0	439
ExpC83	hl_only	microcephaly	6895.3043	6026.5	46	2022_09	46	0.0032	0.0003	0.0	0.0	0.4348	0.0217	0.4348	0.0435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0217	220.8346	188.0	266
ExpC84	hl_only	intellectual_disability	6281.733	5803.0	221	2022_09	221	0.0182	0.0005	0.4525	0.0045	2.0814	0.1041	1.1765	0.1176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.0271	0.024	0.1086	1117.2215	1079.0	1923
ExpC85	hl_only	mnd	3332.7143	302.0	7	2022_09	7	0.0441	0.0388	28.5714	0.2857	14.2857	0.7143	7.1429	0.7143	0.1	0.1429	0.04	0.1429	0.02	0.1429	0.02	0.2857	0.008	0.2857	0.005	0.7143	35.9545	36.5	66
ExpC86	hl_only	ataxia	6719.2143	6061.0	14	2022_09	14	0.0038	0.0016	21.4286	0.2143	4.2857	0.2143	2.1429	0.2143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.2143	0.003	0.2143	169.9075	146.0	227
