gene_left	gene_right	source
TRBC2	HLA-A	experimental interaction detection
KANSL1L	OPTN	experimental interaction detection
SLC12A8	CDK2	inference
SLC12A8	CDK3	inference
RBM47	UBC	experimental interaction detection
RBM47	ATM	experimental interaction detection
RBM47	ELAVL1	experimental interaction detection
RBM47	C1orf94	experimental interaction detection
RBM47	ESR2	experimental interaction detection
RBM47	HSFY1	experimental interaction detection
RBM47	RNF2	experimental interaction detection
TTC26	KIF3C	inference
TTC26	XPO1	experimental interaction detection
TTC26	KIF3B	inference
TTC26	GLI1	experimental interaction detection
TTC26	UBC	experimental interaction detection
TTC26	HNF4A	experimental interaction detection
TTC26	HK3	experimental interaction detection
TTC26	VCP	experimental interaction detection
TTC26	DYNLL1	inference
TTC26	IFT88	experimental interaction detection
TTC26	ARL13B	experimental interaction detection
TTC26	TTC21B	inference
TTC26	LCA5	experimental interaction detection
TTC26	TTC30A	experimental interaction detection
TTC26	IFT20	experimental interaction detection
TTC26	TTC30B	experimental interaction detection
TTC26	ZNF579	experimental interaction detection
TTC26	DYNC2H1	inference
TTC26	WDR19	inference
TTC26	NPLOC4	experimental interaction detection
TTC26	DYNC2LI1	inference
TTC26	TRAF3IP1	inference
TTC26	DYNLRB2	inference
TTC26	WDR60	inference
TTC26	IFT81	experimental interaction detection
TTC26	KIFAP3	inference
TTC26	UFD1L	experimental interaction detection
TTC26	CLUAP1	inference
TTC26	WDR34	inference
TTC26	DYNLL2	inference
TTC26	IFT43	inference
TTC26	IFT74	experimental interaction detection
TTC26	UBXN10	experimental interaction detection
TTC26	IFT140	inference
TTC26	IFT27	experimental interaction detection
TTC26	IFT22	experimental interaction detection
TTC26	IFT122	inference
TTC26	DYNLRB1	inference
TTC26	IFT46	experimental interaction detection
TTC26	IFT57	experimental interaction detection
TTC26	IFT80	experimental interaction detection
TTC26	WDR35	inference
TTC26	IFT172	experimental interaction detection
TTC26	IFT52	experimental interaction detection
TTC26	KIF3A	inference
TTC26	HSPB11	experimental interaction detection
TMEM129	HLA-A	experimental interaction detection
TMEM129	UBC	experimental interaction detection
TMEM129	HLA-A	experimental interaction detection
TMEM129	UBE2D1	experimental interaction detection
TMEM129	PSMD4	experimental interaction detection
TMEM129	VCP	experimental interaction detection
TMEM129	UBE2D3	experimental interaction detection
TMEM129	PDGFRL	experimental interaction detection
TMEM129	SYVN1	experimental interaction detection
TMEM129	UBE2J2	experimental interaction detection
TMEM129	MSANTD3	experimental interaction detection
TMEM129	DLC1	experimental interaction detection
TMEM129	VIMP	experimental interaction detection
TMEM129	DERL1	experimental interaction detection
TMEM129	DERL2	experimental interaction detection
TMEM129	SEL1L	experimental interaction detection
E2F8	APP	experimental interaction detection
E2F8	E2F1	experimental interaction detection
E2F8	EWSR1	experimental interaction detection
E2F8	TFCP2	experimental interaction detection
E2F8	FHL3	experimental interaction detection
E2F8	E2F4	experimental interaction detection
E2F8	HIF1A	inference
E2F8	TTC33	experimental interaction detection
E2F8	ZDHHC17	experimental interaction detection
E2F8	LZTR1	experimental interaction detection
E2F8	E2F7	experimental interaction detection
UBA6	UBE2L6	experimental interaction detection
UBA6	SMAD9	experimental interaction detection
UBA6	UBD	experimental interaction detection
UBA6	EED	inference
UBA6	OR5F1	experimental interaction detection
UBA6	NTRK1	experimental interaction detection
UBA6	UBB	inference
UBA6	UBC	experimental interaction detection
UBA6	UBA1	inference
UBA6	SERPINB5	experimental interaction detection
UBA6	EIF4A3	experimental interaction detection
UBA6	ARHGAP25	experimental interaction detection
UBA6	UBE2A	inference
UBA6	FXR1	experimental interaction detection
UBA6	UBE2D1	experimental interaction detection
UBA6	UBE2G2	experimental interaction detection
UBA6	UBE2D3	experimental interaction detection
UBA6	YWHAG	inference
UBA6	UBE2D2	experimental interaction detection
UBA6	RPS27A	inference
UBA6	UBA52	inference
UBA6	UBE2B	inference
UBA6	UBE2L3	experimental interaction detection
UBA6	YWHAH	inference
UBA6	FMR1	experimental interaction detection
UBA6	ELAVL1	experimental interaction detection
UBA6	UBE2S	experimental interaction detection
UBA6	HMBOX1	experimental interaction detection
UBA6	ITCH	experimental interaction detection
UBA6	FYTTD1	experimental interaction detection
UBA6	CCDC8	experimental interaction detection
UBA6	UBE2Z	experimental interaction detection
UBA6	UBE2T	experimental interaction detection
UBA6	AIPL1	experimental interaction detection
UBA6	MBD5	experimental interaction detection
ESYT2	ESYT3	experimental interaction detection
ESYT2	KCNK1	inference
ESYT2	ELL2	experimental interaction detection
ESYT2	NOP56	experimental interaction detection
ESYT2	ATP6AP2	experimental interaction detection
ESYT2	FBXO21	inference
ESYT2	FN1	experimental interaction detection
ESYT2	NTRK1	experimental interaction detection
ESYT2	PAEP	experimental interaction detection
ESYT2	UBC	experimental interaction detection
ESYT2	SLC2A4	experimental interaction detection
ESYT2	ATP2A2	inference
ESYT2	ATP7B	inference
ESYT2	SUMO2	experimental interaction detection
ESYT2	FGD1	experimental interaction detection
ESYT2	ATP7A	inference
ESYT2	CLN3	experimental interaction detection
ESYT2	IRF3	experimental interaction detection
ESYT2	SMN1	inference
ESYT2	KTN1	inference
ESYT2	TMEM17	experimental interaction detection
ESYT2	MAPK15	experimental interaction detection
ESYT2	NCSTN	experimental interaction detection
ESYT2	TNPO1	inference
ESYT2	FAF2	experimental interaction detection
ESYT2	CAMKK2	experimental interaction detection
ESYT2	MPHOSPH8	experimental interaction detection
ESYT2	TUBA1C	experimental interaction detection
ESYT2	ESYT1	experimental interaction detection
ESYT2	DERL1	experimental interaction detection
ESYT2	ECT2	experimental interaction detection
ESYT3	EWSR1	experimental interaction detection
ESYT3	ESYT1	experimental interaction detection
ESYT3	SSX2IP	inference
MED19	ELL2	experimental interaction detection
MED19	NOP56	experimental interaction detection
MED19	DDX3X	experimental interaction detection
MED19	DNALI1	experimental interaction detection
MED19	U2SURP	experimental interaction detection
MED19	HDAC3	inference
MED19	POLR2D	experimental interaction detection
MED19	PRPF3	inference
MED19	MED7	experimental interaction detection
MED19	MED14	experimental interaction detection
MED19	PPFIA2	inference
MED19	NCOR1	inference
MED19	MED24	experimental interaction detection
MED19	MED6	experimental interaction detection
MED19	RSL1D1	experimental interaction detection
MED19	UBR5	experimental interaction detection
MED19	LUC7L3	experimental interaction detection
MED19	MED26	experimental interaction detection
MED19	ESRRB	inference
MED19	BAG2	experimental interaction detection
MED19	LMNA	experimental interaction detection
MED19	TFF1	experimental interaction detection
MED19	GNAI2	inference
MED19	APP	experimental interaction detection
MED19	NPM1	experimental interaction detection
MED19	TH	inference
MED19	GNAI3	inference
MED19	HSPD1	experimental interaction detection
MED19	FABP4	inference
MED19	GATA1	inference
MED19	UBTF	experimental interaction detection
MED19	POLR2C	experimental interaction detection
MED19	POLR2E	experimental interaction detection
MED19	RXRA	inference
MED19	FBL	experimental interaction detection
MED19	CCNC	experimental interaction detection
MED19	POLR2A	experimental interaction detection
MED19	RPS12	inference
MED19	NFKBIA	experimental interaction detection
MED19	PTBP1	experimental interaction detection
MED19	DCK	experimental interaction detection
MED19	MSX1	experimental interaction detection
MED19	POLR2B	experimental interaction detection
MED19	DNAJA1	experimental interaction detection
MED19	HSPA1L	experimental interaction detection
MED19	POLR2I	experimental interaction detection
MED19	PPARG	inference
MED19	HSPA9	experimental interaction detection
MED19	TMPO	experimental interaction detection
MED19	RANGAP1	experimental interaction detection
MED19	CDK8	experimental interaction detection
MED19	DNM2	experimental interaction detection
MED19	HCFC1	experimental interaction detection
MED19	HNRNPM	experimental interaction detection
MED19	KPNA2	experimental interaction detection
MED19	POLR2H	experimental interaction detection
MED19	POLR2J	experimental interaction detection
MED19	POLR2K	experimental interaction detection
MED19	EIF4A1	experimental interaction detection
MED19	POLR2F	experimental interaction detection
MED19	SNRPD1	experimental interaction detection
MED19	POLR2G	experimental interaction detection
MED19	POLR2L	experimental interaction detection
MED19	RPL10A	inference
MED19	GNAI1	inference
MED19	EEF1A1	experimental interaction detection
MED19	SRSF3	experimental interaction detection
MED19	EP300	inference
MED19	TFCP2	inference
MED19	TARDBP	experimental interaction detection
MED19	PPIG	experimental interaction detection
MED19	TCOF1	experimental interaction detection
MED19	MED21	experimental interaction detection
MED19	PRPF4B	experimental interaction detection
MED19	DDX39B	experimental interaction detection
MED19	HNRNPD	inference
MED19	RBM39	experimental interaction detection
MED19	NOLC1	experimental interaction detection
MED19	NUMA1	experimental interaction detection
MED19	NONO	experimental interaction detection
MED19	RNPS1	experimental interaction detection
MED19	MED22	experimental interaction detection
MED19	NCOA2	inference
MED19	MED1	experimental interaction detection
MED19	NCOA1	inference
MED19	DDB1	experimental interaction detection
MED19	SMN1	experimental interaction detection
MED19	CHD9	experimental interaction detection
MED19	CCDC58	inference
MED19	ZC3H13	experimental interaction detection
MED19	DHRS7B	experimental interaction detection
MED19	MED27	experimental interaction detection
MED19	MED13L	experimental interaction detection
MED19	MED25	experimental interaction detection
MED19	NOL8	experimental interaction detection
MED19	MED12L	experimental interaction detection
MED19	RPAP2	experimental interaction detection
MED19	ZCCHC10	experimental interaction detection
MED19	IPO4	experimental interaction detection
MED19	AHCTF1	experimental interaction detection
MED19	TTN	experimental interaction detection
MED19	GCN1	experimental interaction detection
MED19	CREBBP	inference
MED19	MED12	experimental interaction detection
MED19	FBXW7	experimental interaction detection
MED19	RPL36AL	inference
MED19	ZBTB9	experimental interaction detection
MED19	MED8	experimental interaction detection
MED19	MED30	experimental interaction detection
MED19	RADIL	experimental interaction detection
MED19	MED15	experimental interaction detection
MED19	HNRNPAB	inference
MED19	DDX50	experimental interaction detection
MED19	CMSS1	experimental interaction detection
MED19	MYBBP1A	experimental interaction detection
MED19	MED10	experimental interaction detection
MED19	MED18	experimental interaction detection
MED19	NOC4L	experimental interaction detection
MED19	CDK19	experimental interaction detection
MED19	HELZ2	inference
MED19	FOXP3	inference
MED19	ANAPC1	experimental interaction detection
MED19	MED28	experimental interaction detection
MED19	PNN	experimental interaction detection
MED19	DDX31	experimental interaction detection
MED19	MED20	experimental interaction detection
MED19	MED4	experimental interaction detection
MED19	DDX21	experimental interaction detection
MED19	SMC4	experimental interaction detection
MED19	MED17	experimental interaction detection
MED19	MED9	experimental interaction detection
MED19	MED29	experimental interaction detection
MED19	TFCP2L1	inference
MED19	UBP1	inference
MED19	MED11	experimental interaction detection
MED19	PPARGC1A	inference
MED19	HDAC6	experimental interaction detection
MED19	AFF4	experimental interaction detection
MED19	SRP68	inference
MED19	DDX20	experimental interaction detection
MED19	MED13	experimental interaction detection
MED19	CDC23	experimental interaction detection
MED19	ANAPC5	experimental interaction detection
MED19	ANAPC2	experimental interaction detection
MED19	ACIN1	experimental interaction detection
MED19	MED23	experimental interaction detection
MED19	B9D1	inference
MED19	RUVBL1	experimental interaction detection
MED19	DDX52	experimental interaction detection
MED19	MED16	experimental interaction detection
MED19	NOP58	experimental interaction detection
MED19	ZNF281	experimental interaction detection
MED19	MED31	experimental interaction detection
MED19	NCOR2	inference
MED19	NCOA3	inference
UHRF1BP1L	CDK2	experimental interaction detection
UHRF1BP1L	YWHAB	experimental interaction detection
UHRF1BP1L	FNTB	experimental interaction detection
UHRF1BP1L	RAB5C	inference
UHRF1BP1L	ATXN1	experimental interaction detection
UHRF1BP1L	RAB5B	inference
UHRF1BP1L	YWHAZ	experimental interaction detection
UHRF1BP1L	DYNLL1	experimental interaction detection
UHRF1BP1L	DOK3	experimental interaction detection
UHRF1BP1L	FERMT3	experimental interaction detection
UHRF1BP1L	CT55	experimental interaction detection
UHRF1BP1L	CHD8	experimental interaction detection
POTEB3	UBC	experimental interaction detection
IGLC7	PIK3R2	inference
IGLC7	LAT	inference
IGLC7	GRAP2	inference
IGLC7	C1R	inference
IGLC7	JCHAIN	inference
IGLC7	IGKV1D-16	inference
IGLC7	IGKV1-5	inference
IGLC7	IGLV1-51	inference
IGLC7	IGHV3-23	inference
IGLC7	IGHV2-5	inference
IGLC7	IGKC	inference
IGLC7	IGHE	inference
IGLC7	IGHG1	inference
IGLC7	IGHG2	inference
IGLC7	IGHG3	inference
IGLC7	IGHG4	inference
IGLC7	IGHM	inference
IGLC7	IGHA1	inference
IGLC7	IGHA2	inference
IGLC7	IGHD	inference
IGLC7	C1QA	inference
IGLC7	C1QB	inference
IGLC7	C1QC	inference
IGLC7	AMBP	inference
IGLC7	IGKV4-1	inference
IGLC7	C2	inference
IGLC7	LYN	inference
IGLC7	FCGR3A	inference
IGLC7	CD3G	inference
IGLC7	C1S	inference
IGLC7	C4A	inference
IGLC7	C4B	inference
IGLC7	IGLC6	inference
IGLC7	IGLC1	inference
IGLC7	IGLC2	inference
IGLC7	IGLC3	inference
IGLC7	CD79A	inference
IGLC7	FCGR1A	inference
IGLC7	FCGR2A	inference
IGLC7	FCER1A	inference
IGLC7	VAV1	inference
IGLC7	NCK1	inference
IGLC7	PLCG2	inference
IGLC7	PLCG1	inference
IGLC7	CD22	inference
IGLC7	CD247	inference
IGLC7	CBL	inference
IGLC7	IGHV1-2	inference
IGLC7	PIK3R1	inference
IGLC7	PTPN6	inference
IGLC7	SHC1	inference
IGLC7	FCER1G	inference
IGLC7	FCGR2B	inference
IGLC7	CD79B	inference
IGLC7	PIK3CA	inference
IGLC7	PIK3CB	inference
IGLC7	TEC	inference
IGLC7	SYK	inference
IGLC7	CRK	inference
IGLC7	VAV2	inference
IGLC7	GRB2	inference
IGLC7	RAC1	inference
IGLC7	MS4A2	inference
IGLC7	PRKCQ	inference
IGLC7	BTK	inference
IGLC7	SOS1	inference
IGLC7	ITK	inference
IGLC7	LCP2	inference
IGLC7	CBLB	inference
IGLC7	DOCK1	inference
IGLC7	BLNK	inference
IGLC7	ELMO1	inference
IGLC7	SH3KBP1	inference
IGLC7	ELMO2	inference
IGLC7	LAT2	inference
IGLC7	VAV3	inference
IGLC7	DAPP1	inference
IGLC7	GAB2	inference
SHTN1	BBOX1	experimental interaction detection
SHTN1	NTRK1	experimental interaction detection
SHTN1	FABP3	experimental interaction detection
SHTN1	UBC	experimental interaction detection
SHTN1	TAF1	experimental interaction detection
SHTN1	PIK3R1	inference
SHTN1	L1CAM	inference
SHTN1	NEDD4	experimental interaction detection
SHTN1	YWHAG	experimental interaction detection
SHTN1	ESRRG	experimental interaction detection
SHTN1	TFCP2	experimental interaction detection
SHTN1	LURAP1L	experimental interaction detection
SHTN1	LNX1	experimental interaction detection
SHTN1	KIF20B	inference
SHTN1	MED4	experimental interaction detection
SHTN1	NME7	experimental interaction detection
SHTN1	IKBKG	experimental interaction detection
DHRS12	H3F3A	experimental interaction detection
TMEM223	SLC25A5	experimental interaction detection
TMEM223	UBC	experimental interaction detection
TMEM223	HLA-C	experimental interaction detection
TMEM223	EEF1G	inference
TMEM223	HTR3C	experimental interaction detection
TMEM223	ERGIC3	experimental interaction detection
TMEM223	COA3	experimental interaction detection
CIB4	UBB	experimental interaction detection
CIB4	ZNHIT2	experimental interaction detection
TLDC2	HSPA1A	inference
TLDC2	HSPA1B	inference
TLDC2	HSPA8	inference
TLDC2	ATP6V1B1	inference
TLDC2	HSPA6	inference
TLDC2	RCC1	inference
TLDC2	RAB6A	inference
TLDC2	ATP6V1B2	inference
TLDC2	HSPA1L	inference
TLDC2	ATP6V1A	inference
TLDC2	HSPA2	inference
TLDC2	CNBP	inference
TLDC2	RAB41	inference
TLDC2	ZCCHC13	inference
TLDC2	RAB6C	inference
TLDC2	RAB6B	inference
SHISA3	PNMA1	experimental interaction detection
FEZF1	SP1	experimental interaction detection
FEZF1	GABRR1	experimental interaction detection
GXYLT2	FBL	experimental interaction detection
GXYLT2	SRPK2	experimental interaction detection
TMEM120B	CCNDBP1	experimental interaction detection
TMEM120B	TCTN3	experimental interaction detection
TMEM120B	SLC39A4	experimental interaction detection
TMEM120B	TCTN2	experimental interaction detection
TMEM120B	POMK	experimental interaction detection
TMEM120B	CHRNA9	experimental interaction detection
LNP1	LYN	experimental interaction detection
ARHGAP10	RHOD	inference
ARHGAP10	RHOBTB1	inference
ARHGAP10	RHOC	inference
ARHGAP10	UBC	experimental interaction detection
ARHGAP10	RAC2	inference
ARHGAP10	RHOQ	inference
ARHGAP10	YWHAQ	experimental interaction detection
ARHGAP10	RAC3	inference
ARHGAP10	CDC42	experimental interaction detection
ARHGAP10	RHOA	experimental interaction detection
ARHGAP10	RHOB	inference
ARHGAP10	RAC1	inference
ARHGAP10	SH3BP2	experimental interaction detection
ARHGAP10	RHOG	inference
ARHGAP10	PAK2	inference
ARHGAP10	PTK2B	inference
ARHGAP10	RHOH	inference
ARHGAP10	PKN3	experimental interaction detection
ARHGAP10	RHOU	inference
ARHGAP10	RHOT2	inference
ARHGAP10	RHOT1	inference
ARHGAP10	ANKS1A	experimental interaction detection
ARHGAP10	RHOV	inference
ARHGAP10	RHOBTB2	inference
ARHGAP10	FOXQ1	experimental interaction detection
ARHGAP10	RHOJ	inference
ARHGAP10	RHOF	inference
ARHGAP10	C2CD2	experimental interaction detection
LINC01588	KRTAP10-3	experimental interaction detection
LINC01588	KRT40	experimental interaction detection
LINC01588	RBPMS	experimental interaction detection
LINC01588	MDFI	experimental interaction detection
CCDC189	TAF1	experimental interaction detection
CCDC189	SHMT2	experimental interaction detection
IRGM	TLR3	experimental interaction detection
IRGM	ULK1	experimental interaction detection
IRGM	DDX58	experimental interaction detection
IRGM	BECN1	experimental interaction detection
IRGM	ATG16L1	experimental interaction detection
IRGM	ATG14	experimental interaction detection
IRGM	AMBRA1	experimental interaction detection
IRGM	NOD2	experimental interaction detection
IRGM	NPHS2	inference
IRGM	NOD1	experimental interaction detection
FAM170A	VAPB	experimental interaction detection
FAM170A	TRIM27	experimental interaction detection
FAM170A	CSNK1A1	experimental interaction detection
FAM170A	QSER1	experimental interaction detection
FAM170A	MIER1	experimental interaction detection
FAM170A	CSNK1A1L	experimental interaction detection
FAM170A	SPC24	experimental interaction detection
FAM170A	USP7	experimental interaction detection
FAM170A	DGCR14	experimental interaction detection
FAM170A	ZNF703	experimental interaction detection
FAM170A	SPC25	experimental interaction detection
FAM170A	ZNF358	experimental interaction detection
FAM170A	VAPA	experimental interaction detection
KRTAP23-1	BHLHE40	experimental interaction detection
KRTAP23-1	TNS2	experimental interaction detection
KRTAP23-1	RBPMS	experimental interaction detection
ANO9	DLG1	experimental interaction detection
SLC22A23	LGALS8	experimental interaction detection
SLC22A23	UBC	experimental interaction detection
SLC22A23	PSMA3	experimental interaction detection
SLC22A23	KRTAP5-9	experimental interaction detection
SLC22A23	KRTAP10-8	experimental interaction detection
SLC22A23	NOTCH2NL	experimental interaction detection
CCDC64B	DYNC1I1	inference
CCDC64B	RAB3D	inference
CCDC64B	RAB36	inference
CCDC64B	UBC	experimental interaction detection
CCDC64B	RAB3A	inference
CCDC64B	RAB13	inference
CCDC64B	RAB10	inference
CCDC64B	RAB40B	inference
CCDC64B	DCTN1	inference
CCDC64B	DYNC1H1	inference
CCDC64B	RAB35	inference
CCDC64B	RAB30	inference
CCDC64B	RAB12	inference
CCDC64B	KLC3	experimental interaction detection
CCDC64B	RAB40A	inference
CCDC64B	RAB24	inference
CCDC64B	RAB40C	inference
CCDC64B	RAB6C	inference
ODAM	APP	experimental interaction detection
ODAM	TOLLIP	experimental interaction detection
ODAM	IKBKG	experimental interaction detection
ARHGEF37	BIN3	experimental interaction detection
FAM168B	UBC	experimental interaction detection
FAM168B	DAZAP2	inference
FAM168B	TMTC1	inference
FAM168B	FAM168A	inference
FAM168B	YPEL2	inference
FAM168B	PARP2	experimental interaction detection
PXDNL	UBC	experimental interaction detection
PXDNL	CUL3	experimental interaction detection
PXDNL	CSPP1	experimental interaction detection
MEX3A	NTRK1	experimental interaction detection
MEX3A	PABPC1	experimental interaction detection
ILVBL	PLSCR1	inference
ILVBL	TOM1	experimental interaction detection
ILVBL	PPP6R2	experimental interaction detection
ILVBL	DCTN3	inference
ILVBL	EGFR	experimental interaction detection
ILVBL	MYC	experimental interaction detection
ILVBL	NTRK1	experimental interaction detection
ILVBL	ADRB2	experimental interaction detection
ILVBL	UBC	experimental interaction detection
ILVBL	UBL4A	experimental interaction detection
ILVBL	XRCC6	experimental interaction detection
ILVBL	KIF11	experimental interaction detection
ILVBL	ATXN1	experimental interaction detection
ILVBL	SUMO2	experimental interaction detection
ILVBL	CLN3	experimental interaction detection
ILVBL	ILK	experimental interaction detection
ILVBL	CUL3	experimental interaction detection
ILVBL	RPGRIP1L	experimental interaction detection
ILVBL	TCTN3	experimental interaction detection
ILVBL	CEP76	experimental interaction detection
ILVBL	SKA1	experimental interaction detection
ILVBL	FAF2	experimental interaction detection
ILVBL	MMS19	experimental interaction detection
ILVBL	ECT2	experimental interaction detection
ILVBL	GBA2	experimental interaction detection
ILVBL	NRIP3	inference
ILVBL	PPP6R1	experimental interaction detection
TSPAN11	DYNC2LI1	inference
ERICH2	SDCBP	experimental interaction detection
ERICH2	H2AFY	experimental interaction detection
ERICH2	TNF	experimental interaction detection
ERICH2	IWS1	experimental interaction detection
UBE2QL1	UBC	experimental interaction detection
UBE2QL1	KIAA1429	inference
UBE2QL1	NPRL2	inference
UBE2QL1	FBXW7	experimental interaction detection
C1orf226	DCTN3	inference
C1orf226	AP2M1	experimental interaction detection
C1orf226	NAF1	experimental interaction detection
C1orf226	PLK2	experimental interaction detection
C1orf226	DTL	inference
C1orf226	MYH13	experimental interaction detection
C1orf226	BTRC	experimental interaction detection
C17orf89	PMPCB	experimental interaction detection
C17orf89	NDUFS3	experimental interaction detection
C17orf89	ATP5H	experimental interaction detection
C17orf89	TRUB2	experimental interaction detection
C17orf89	COX6A1	experimental interaction detection
C17orf89	CPT2	experimental interaction detection
C17orf89	ATP5F1	experimental interaction detection
C17orf89	ATP5C1	experimental interaction detection
C17orf89	PI4KA	experimental interaction detection
C17orf89	ATP5O	experimental interaction detection
C17orf89	SLC16A1	experimental interaction detection
C17orf89	ATP5E	experimental interaction detection
C17orf89	MRPS35	experimental interaction detection
C17orf89	C1QBP	experimental interaction detection
C17orf89	PMPCA	experimental interaction detection
C17orf89	ECH1	experimental interaction detection
C17orf89	NDUFA5	experimental interaction detection
C17orf89	TIMM50	experimental interaction detection
C17orf89	NDUFAF5	experimental interaction detection
C17orf89	MRPL54	experimental interaction detection
C17orf89	C14orf159	experimental interaction detection
C17orf89	DHRS4	experimental interaction detection
C17orf89	CLPB	experimental interaction detection
C17orf89	STARD7	experimental interaction detection
C17orf89	STOML2	experimental interaction detection
C17orf89	POLDIP2	experimental interaction detection
C17orf89	NFS1	experimental interaction detection
C17orf89	CHCHD2	experimental interaction detection
SYCE3	RAD21	inference
SYCE3	FKBP6	inference
SYCE3	REC8	inference
SYCE3	INPP1	experimental interaction detection
SYCE3	HSPA2	inference
SYCE3	UBE2I	inference
SYCE3	SMC1A	inference
SYCE3	SYCP1	inference
SYCE3	SYCE2	inference
SYCE3	SYCP3	inference
SYCE3	SYCE1	inference
SYCE3	STAG2	inference
SYCE3	SMC1B	inference
SYCE3	STAG1	inference
SYCE3	HAUS1	experimental interaction detection
SYCE3	DIDO1	inference
SYCE3	SYCP2	inference
SYCE3	TEX12	inference
SYCE3	STAG3	inference
SYCE3	BLOC1S6	experimental interaction detection
SYCE3	SMC3	inference
PLEKHG3	MYO1C	experimental interaction detection
PLEKHG3	PPP6C	inference
PLEKHG3	EED	inference
PLEKHG3	FLOT1	inference
PLEKHG3	TPM1	inference
PLEKHG3	UBC	experimental interaction detection
PLEKHG3	FLNA	experimental interaction detection
PLEKHG3	CALML3	inference
PLEKHG3	TMOD1	inference
PLEKHG3	POLR2B	inference
PLEKHG3	MYH9	experimental interaction detection
PLEKHG3	MYH11	inference
PLEKHG3	BMPR1A	inference
PLEKHG3	IQGAP1	experimental interaction detection
PLEKHG3	CAPZA2	experimental interaction detection
PLEKHG3	PPP1CB	experimental interaction detection
PLEKHG3	TAF10	inference
PLEKHG3	EZH2	inference
PLEKHG3	DBN1	experimental interaction detection
PLEKHG3	INTS1	inference
PLEKHG3	MYO18A	experimental interaction detection
PLEKHG3	MYO19	experimental interaction detection
PLEKHG3	ZFP42	inference
PLEKHG3	CCDC8	experimental interaction detection
PLEKHG3	WDR76	inference
PLEKHG3	INCENP	inference
PLEKHG3	ANLN	experimental interaction detection
PLEKHG3	TMOD3	inference
PLEKHG3	TMOD2	inference
PLEKHG3	LIMA1	experimental interaction detection
PLEKHG3	CORO1C	inference
PLEKHG3	TNFRSF11A	inference
ELOVL7	ILF3	experimental interaction detection
ELOVL7	DTNBP1	experimental interaction detection
ELOVL7	CERS2	experimental interaction detection
MT1DP	KRTAP10-5	experimental interaction detection
MT1DP	KRTAP10-9	experimental interaction detection
GAGE12B	GMCL1P1	experimental interaction detection
GAGE12B	GMCL1	experimental interaction detection
NUTM2F	GRB2	experimental interaction detection
NUTM2F	MORN4	experimental interaction detection
NUTM2F	ZNF148	experimental interaction detection
PRSS38	OTUB1	experimental interaction detection
SSC5D	NUP62	experimental interaction detection
SSC5D	TRAF1	experimental interaction detection
SSC5D	MED21	experimental interaction detection
SSC5D	NECAB2	experimental interaction detection
SSC5D	DTNBP1	experimental interaction detection
SSC5D	CEP170P1	experimental interaction detection
SSC5D	EXOC7	experimental interaction detection
SSC5D	SEC23IP	experimental interaction detection
FSD2	LATS1	experimental interaction detection
FSD2	FAM107A	experimental interaction detection
FSD2	ESD	experimental interaction detection
FSD2	ZNF20	experimental interaction detection
FSD2	PSMB4	experimental interaction detection
FSD2	AQP1	experimental interaction detection
FSD2	CORO1A	experimental interaction detection
FSD2	PBX3	experimental interaction detection
FSD2	BEX3	experimental interaction detection
FSD2	FMR1	experimental interaction detection
FSD2	AES	experimental interaction detection
FSD2	MYBPC2	experimental interaction detection
FSD2	PPP2R5D	experimental interaction detection
FSD2	ZNF124	experimental interaction detection
FSD2	ZSCAN26	experimental interaction detection
FSD2	FAM161A	experimental interaction detection
FSD2	ZC2HC1C	experimental interaction detection
FSD2	PPP1R18	experimental interaction detection
FSD2	CDC73	experimental interaction detection
FSD2	KANSL1	experimental interaction detection
FSD2	ZNF572	experimental interaction detection
FSD2	ZNF410	experimental interaction detection
FSD2	FAM90A1	experimental interaction detection
FSD2	IFT20	experimental interaction detection
FSD2	TCEANC	experimental interaction detection
FSD2	ZBTB38	experimental interaction detection
FSD2	CCDC112	experimental interaction detection
FSD2	ZNF417	experimental interaction detection
FSD2	CCHCR1	experimental interaction detection
FSD2	PIK3R3	experimental interaction detection
FSD2	LENG1	experimental interaction detection
FSD2	ZMAT2	experimental interaction detection
FSD2	ZNF587	experimental interaction detection
FSD2	NDN	experimental interaction detection
FSD2	BEX2	experimental interaction detection
FSD2	SPATC1L	experimental interaction detection
FSD2	BRD8	experimental interaction detection
FSD2	SH2D4A	experimental interaction detection
FSD2	CBX8	experimental interaction detection
FSD2	ZNF581	experimental interaction detection
FSD2	POLL	experimental interaction detection
FSD2	ZNF230	experimental interaction detection
FSD2	MRPL11	experimental interaction detection
SH3PXD2B	NCK2	experimental interaction detection
SH3PXD2B	CEP152	inference
SH3PXD2B	NTRK1	experimental interaction detection
SH3PXD2B	UBC	experimental interaction detection
SH3PXD2B	FASLG	experimental interaction detection
SH3PXD2B	LIMK1	experimental interaction detection
SH3PXD2B	GRB2	experimental interaction detection
SH3PXD2B	SH3KBP1	experimental interaction detection
SH3PXD2B	SORT1	experimental interaction detection
FAM92A1	UBC	experimental interaction detection
FAM92A1	APPBP2	experimental interaction detection
FAM92A1	CBY1	experimental interaction detection
ZBTB7C	HDAC3	inference
ZBTB7C	NCOR1	inference
ZBTB7C	TP53	inference
ZBTB7C	SREBF1	experimental interaction detection
ZBTB7C	BCOR	inference
ZBTB7C	CDC5L	experimental interaction detection
ZBTB7C	FAM134B	inference
MACROD2	UBC	experimental interaction detection
MACROD2	TERF1	experimental interaction detection
