Gene_Name	interacting_genes
AAR2	['RNF40', 'CD2BP2', 'CDK1', 'CSF1', 'VAC14', 'SNW1', 'RNF20', 'EMC6', 'RUVBL1']
AARS	['EIF2B2', 'IDH3A', 'GDI2', 'CCT8', 'AKR1D1', 'PGD', 'AKR1C2', 'CLTCL1', 'HSPA2', 'BCAT1', 'PSMD4', 'VCP', 'ADK', 'NPEPPS', 'EIF4A1', 'RRAS2', 'YWHAE', 'POLR2L', 'PPIA', 'FKBP1A', 'EIF5A', 'EEF1A1', 'FKBP1B', 'TUBA1B', 'TUBA4A', 'TUBB4B', 'MAT1A', 'CLTC', 'GALK2', 'PFKP', 'AKR1C1', 'EEF1A2', 'GFPT1', 'RAB40B', 'PRDX4', 'PSMD2', 'PABPC4', 'EIF3I', 'TUBB3', 'TUBA3C', 'TUBB2A', 'BYSL', 'EIF3A', 'EIF4A2', 'PLS1', 'KARS', 'PGM5', 'PPA1', 'SF3B4', 'UGP2', 'TUBB8', 'PABPC1L', 'PABPC1L2A', 'RARS2', 'EIF5AL1', 'TUBA3E', 'TUBA1A', 'MOB1B', 'LONP2', 'THNSL2', 'SEPT12', 'PGAM4', 'AADAT', 'PRPF31', 'HSPH1', 'KAT5', 'RAB39B', 'PABPC5', 'AURKB', 'AKR1E2', 'NEDD4L', 'PSMD1', 'EIF3C', 'ACO2', 'PRMT1', 'TUBB6', 'TUBB2B', 'ACAT2', 'EIF5A2', 'NACA2', 'TKTL2', 'PPA2', 'PABPC3', 'TUBB1', 'IFT22', 'MOB1A', 'ACSS2', 'PRMT8', 'OLA1', 'ACSS1', 'TUBA8', 'LARS', 'RAB22A', 'PPIE', 'AURKC', 'RUVBL2', 'MRPS2', 'MRPS16', 'TARSL2', 'TUBAL3', 'EIF3CL', 'AKR1B15', 'PSMD14', 'NTN3', 'PRMT5', 'PFAS', 'LSM1', 'BCAT2', 'PRPF4', 'PRPF3', 'NARS', 'AKR1B10', 'MARCH6', 'EIF1B', 'CLUH', 'CS', 'EED', 'SNRNP200', 'EIF3G', 'PSMD10', 'ALDH1A2', 'GFPT2', 'PRPF6', 'NTN1', 'HSPA4L', 'CCNE2', 'ALDH1A1', 'SOD1', 'GOT2', 'KRAS', 'OAT', 'TUBB4A', 'GAPDH', 'ASL', 'ALDH2', 'ATP5B', 'PYGL', 'GPI', 'P4HB', 'TUBB', 'BPGM', 'PFKM', 'ENO2', 'DLD', 'HSPA1A', 'HSPA1B', 'RRAS', 'DLAT', 'PRKAR1A', 'HSPD1', 'HSPA5', 'HSPA8', 'PYGB', 'PYGM', 'PC', 'MTHFD1', 'PABPC1', 'TPR', 'EEF2', 'PDIA4', 'LCP1', 'PLS3', 'PRKAR2A', 'ENO3', 'FDPS', 'AKR1A1', 'DARS', 'PGAM2', 'ATP6V1B1', 'HSPA6', 'GOT1', 'AKR1C4', 'PFKL', 'PSMC3', 'PGAM1', 'HK1', 'ATP6V1B2', 'UBA1', 'AHCY', 'ACAT1', 'CCNE1', 'ATP5A1', 'TARS', 'VARS', 'EEF1G', 'CALML3', 'TKT', 'PDIA3', 'PPP2R1A', 'PPP2R1B', 'PPIF', 'ALDH1B1', 'POLR2B', 'GDI1', 'MAT2A', 'PRKAR1B', 'PRKAR2B', 'ATIC', 'PRDX2', 'CTH', 'SHMT1', 'SHMT2', 'HSPA1L', 'HSPA4', 'MPI', 'CBS', 'GCK', 'PGM1', 'HSPA9', 'MDH2', 'GARS', 'IARS', 'EIF1', 'NEDD4', 'ALDH1A3', 'CSNK1D']
AARS2	['LONP2', 'RAB39B', 'IFT22', 'RAB22A', 'MRPS2', 'MRPS16', 'NTN3', 'EED', 'GFPT2', 'NTN1', 'ISG15', 'DLD', 'GFPT1', 'RAB40B']
AARSD1	['PABPC3', 'RBM28', 'ACTR3B', 'EIF3CL', 'ARPC1B', 'ARPC2', 'ARPC3', 'GAPDH', 'ENO2', 'PABPC1', 'ENO3', 'RCC1', 'IRAK1', 'MVD', 'ARPC4', 'ACTR3', 'ACTR2', 'SSRP1', 'PABPC4', 'USP10', 'PABPC1L', 'PABPC1L2A', 'XRN1', 'ARPC1A', 'PABPC5', 'EIF3C']
AASDHPPT	['FASN', 'ACTB', 'ACTG1', 'RAE1', 'WDR82']
AASS	['ACADM', 'DLG4']
AATF	['TUBA8', 'COPG2', 'HMGXB4', 'CPSF3', 'ABT1', 'NOB1', 'DIMT1', 'RPL26L1', 'WDR3', 'RUVBL2', 'RUVBL1', 'DIS3', 'RCL1', 'DDX52', 'POLR1D', 'NOP58', 'UTP11', 'AK6', 'NOC2L', 'RPL36', 'RBM19', 'UTP18', 'COPG1', 'SAR1B', 'DDX49', 'TUBAL3', 'CDC7', 'MPHOSPH10', 'NOP56', 'PSMA7', 'MYL12B', 'WDR46', 'DHX15', 'DAPK3', 'RRP9', 'EXOC3', 'DKC1', 'DNAJA2', 'UTP20', 'HSPA4L', 'NGF', 'TUBB4A', 'HIST1H2AB', 'RPLP2', 'RPLP0', 'ATP5B', 'TUBB', 'NGFR', 'PFKM', 'HSP90AB1', 'RPS17', 'HIST1H2AG', 'H2AFB1', 'H2AFB2', 'HSPA1B', 'DLAT', 'HSPD1', 'HSPA8', 'ATP6V1B1', 'H2AFX', 'HSPA6', 'PFKL', 'RPL35A', 'RPL17', 'RCC1', 'CSNK2A2', 'HIST1H2AD', 'ATP6V1B2', 'FBL', 'RPS4Y1', 'RPS3', 'ATP5A1', 'PSMA4', 'RPL13', 'MAT2A', 'DNAJA1', 'STIP1', 'HSPA1L', 'HSPA4', 'COPB2', 'RPL4', 'PPP1CC', 'HSPA9', 'RPL13A', 'RBM34', 'RPS9', 'RPS5', 'RPS10', 'CSNK1A1', 'CSNK1D', 'CDK8', 'CSNK1E', 'PAPOLA', 'MVD', 'HSPA2', 'VCP', 'SEC13', 'SUMO3', 'ACTB', 'EIF4A1', 'RPS20', 'PSMA6', 'RPS3A', 'RPL26', 'RPL15', 'RPS7', 'PPP1CA', 'PPP1CB', 'PSMC5', 'RPS15A', 'RPS16', 'RPS14', 'RPS18', 'RPS13', 'RPS11', 'CNBP', 'RPS4X', 'ACTA2', 'HIST1H4A', 'RAB1A', 'RPS24', 'RPS25', 'RPS28', 'POLR2L', 'RPL10A', 'RPL11', 'RPL8', 'RPS27A', 'UBA52', 'SUMO1', 'RPS21', 'RACK1', 'ACTG1', 'ACTG2', 'CSNK2B', 'ACTC1', 'EEF1A1', 'ACTA1', 'TUBA1B', 'TUBA4A', 'TUBB4B', 'CSNK2A1', 'NOP14', 'RPL19', 'MAT1A', 'GALK2', 'PFKP', 'RPL6', 'EEF1A2', 'PPAT', 'VAC14', 'TBL3', 'CSTF3', 'DDX10', 'PPP2R5C', 'TUBB3', 'KRR1', 'TUBA3C', 'TUBB2A', 'BYSL', 'EIF4A2', 'PDCD11', 'BMS1', 'PPP2R5D', 'PPP2R5A', 'PPP2R5B', 'PWP2', 'SEC23A', 'SEC23B', 'PPP2R5E', 'KYNU', 'HIST2H2AC', 'TSR1', 'TUBB8', 'RRP12', 'SUMO4', 'HIST2H2AA3', 'TUBA3E', 'TUBA1A', 'HIST3H2A', 'NOP9', 'HIST2H2AB', 'DHX37', 'KRI1', 'WDR36', 'PSMA8', 'RPS4Y2', 'BRIX1', 'UTP15', 'DNAJA4', 'ZCCHC13', 'HSPH1', 'GCN1', 'EMG1', 'HIST1H2AC', 'UTP4', 'DNAJC19', 'IMP4', 'ERO1A', 'HIST1H2AH', 'HIST1H2AA', 'HIST1H4G', 'TSG101', 'HIST1H2AJ', 'NOL10', 'H2AFJ', 'TUBB6', 'TUBB2B', 'NOC4L', 'RIOK2', 'PAPOLG', 'CDK19', 'EIF2A', 'FOXP3', 'WDR33', 'REXO4', 'NAT10', 'KLC2', 'RAB1B', 'TUBB1', 'ESF1', 'HEATR1', 'NOL6', 'POLR1B', 'SARS2', 'SAR1A', 'PAPOLB', 'PNO1', 'DCAF13', 'IMP3', 'DDX18']
ABAT	['PRPF8', 'MIB1', 'HSPH1', 'WDR76', 'HSPA4L', 'UBC', 'HSPA1A', 'HSPA1B', 'HSPA8', 'HSPA6', 'HSPA1L', 'HSPA4', 'ALDH5A1', 'HSPA2', 'CCT2']
ABCA1	['DMD', 'PRKACA', 'FLNA', 'PRKACG', 'PRKACB', 'CANX', 'KIF11', 'ERBIN', 'TLR9', 'LIN7C', 'ZDHHC8', 'LIN7A']
ABCA2	['ANKFY1', 'MYH9', 'MYH10', 'MYH11']
