Gene_Name	interacting_genes
AARSD1	['TSSK6', 'TRIM7', 'TUBB1', 'RHOJ', 'PARVG', 'JADE2', 'TLR7', 'WSB2', 'EIF2AK4', 'ZC3H7B', 'HECTD1', 'USP18', 'DNM3', 'TRIM17', 'COPG1', 'IRS4', 'GNB5', 'CFLAR', 'TET3', 'PSMD3', 'ZBED4', 'DNAJB6', 'FBXO24', 'PRPF6', 'USP19', 'REC8', 'BAG2', 'TOP3B', 'MOS', 'RAF1', 'TUBB4A', 'ERBB2', 'HSPB1', 'UBC', 'TAT', 'ERCC2', 'GNAZ', 'GNA15', 'MCM5', 'MCM7', 'PSMC2', 'GNAL', 'VHL', 'CRAT', 'CSNK1E', 'RGS6', 'SERPINH1', 'CLCN2', 'HSPA2', 'MLF1', 'NLRP12', 'SUMO2', 'GNB1', 'DYNLT1', 'PRAME', 'IFRD2', 'NR1H3', 'PSMD2', 'SKP2', 'TUBB2A', 'KEAP1', 'SIM2', 'GNA13', 'IRF3', 'SETDB1', 'CDK10', 'KLHL38', 'FOXD4L6', 'TSSC1', 'TFDP3', 'USP49', 'TUBA1A', 'DET1', 'PIWIL4', 'GTF2IRD2', 'FBXL14', 'SIRT6', 'HUS1B', 'CTCFL', 'PIWIL2', 'DNAJA4', 'SMARCD2', 'KAT5']
AASDH	['GPSM2']
AASDHPPT	['BABAM1', 'NXF1', 'USP22', 'EIF1B', 'NTRK1', 'JUN', 'POTEI', 'UBC', 'TAF1', 'HLA-B', 'SUMO3', 'MAX', 'TRAF2', 'STIL', 'PAXIP1', 'SIAH1', 'SLX4', 'ULK2', 'MDFI', 'MOV10', 'FBXO6']
AASS	['MYC', 'UBC', 'HNF4A', 'PXN', 'ICT1', 'TERF2', 'NEDD8', 'DCP1A', 'ONECUT1']
AATF	['RTEL1', 'MPP6', 'NXF1', 'FBXW11', 'CEP164', 'BTRC', 'MAGED1', 'CHEK1', 'XPO1', 'UBD', 'OBSL1', 'SS18L1', 'CPD', 'LDOC1', 'CHEK2', 'WHSC1', 'JUN', 'RB1', 'SP1', 'UBC', 'MAPT', 'RPS2', 'TAF1', 'RPL10', 'RBL1', 'MNDA', 'HNF4A', 'MAPKAPK2', 'POLR2J', 'SUMO2', 'RPS8', 'SMAD3', 'HNRNPU', 'MDM2', 'E2F1', 'RELA', 'RBL2', 'ATM', 'PIN1', 'ATR', 'DAZAP2', 'EFNB3', 'IFI16', 'ZNF468', 'CAND1', 'LZTR1', 'NGDN', 'PAWR', 'NEDD4L', 'MMS19', 'MPHOSPH6', 'RBBP8', 'PCBD2', 'HIPK2', 'LIN28A', 'SIRT7']
AATK	['DNAJA3', 'SLC25A22', 'ATAD3A', 'STK39', 'SLC25A13', 'DPM1', 'SLC25A12', 'HSPB1', 'P4HA1', 'DNAJA1', 'PPP1CC', 'SSR4', 'SLC25A1', 'PPP1CA', 'ACTC1', 'CDK5', 'SLC25A11', 'CDK5R1', 'RCN1']
ABAT	['SEC22C', 'LGR4', 'BAG3', 'CRK']
ABCA1	['APOA1', 'UBC', 'CSNK2A2', 'SDHB', 'TGM2', 'FUS', 'UTRN', 'NR1H2', 'CDC42', 'COPS2', 'XPC', 'RELA', 'AOX1', 'FADD', 'SNTA1', 'SNTB2', 'SNTB1', 'DLG2', 'UGP2', 'PRPF8', 'ABCA12', 'STX12', 'LNX1', 'CREBBP', 'DLG3', 'COPS5', 'LIN7B', 'ARHGEF12', 'ATXN10', 'IKBKG', 'HGS', 'ARHGEF11', 'SPTLC1', 'DTNB', 'FLOT1', 'MPDZ']
ABCA10	['COPS5', 'CUL4A']
ABCA12	['ABCA1', 'UBC', 'NR1H2']
ABCA13	['APOA1', 'APOA2', 'CLK1', 'CUL3']
ABCA2	['TMEM248', 'SDHAF2', 'NXF1', 'GPATCH8', 'CACNA1A', 'MYC', 'UBC', 'PMS2', 'CLTC', 'YWHAH', 'PCDH1', 'PTCH1', 'RAB32', 'LAMB3', 'PON2', 'RNASEH2B', 'CDK5RAP2']
ABCA3	['SPINT2', 'UBC', 'HLA-E', 'ATP1B3', 'EVA1C', 'GNAI1', 'NRG1', 'PTH1R', 'FAM189A2', 'ZACN', 'MCOLN3']
ABCA4	['CNGB1', 'KDM5B']
ABCA5	['CYP2E1', 'NR4A1']
ABCA6	['APOA1', 'HNF4A']
ABCA7	['SGTB', 'SORT1', 'SYNCRIP', 'UBC', 'HNRNPD', 'LLGL2']
ABCA8	['ONECUT1']
ABCA9	['DEDD', 'MYC']
ABCB1	['UBC', 'PIM1', 'CEBPB', 'LGALS3', 'APEX1', 'PSMB8', 'UBA7', 'NEDD4', 'DHX9', 'CUL7', 'MAPRE1', 'LAPTM4B', 'FBXO15', 'LNX1', 'RNF2', 'PHB2', 'MAPKAP1', 'BCCIP', 'MYC', 'CD4', 'NTRK1']
ABCB10	['MYC', 'UBC', 'HLA-DPA1', 'TAF1', 'HNF4A', 'MAX', 'E2F1', 'IL9R', 'NRG1', 'ELAVL1', 'CEACAM21', 'TCTN3', 'SLC39A4']
ABCB11	['AP2A1', 'UBC', 'NR4A1', 'HNF4A', 'LY6D', 'NR0B2', 'NCOA2', 'NCOA1', 'CARM1', 'NR1H4', 'ONECUT1', 'PPARGC1A', 'NCOR2', 'NCOR1']
ABCB4	['TESK1', 'PIGY']
ABCB5	['PSMB9']
