Gene_Name	interacting_genes
GRB2	['AP2B1', 'YWHAZ', 'PPP2R2A', 'DYNLL1', 'ACTG1', 'ACTG2', 'ACTC1', 'EEF1A1', 'TUBA1B', 'TUBA4A', 'TUBB4B', 'HIST1H3A', 'SH3BP2', 'SIRPA', 'CYP4F2', 'RPP38', 'DLG4', 'CNTNAP1', 'CCT2', 'KRT83', 'KRT85', 'ST5', 'PRKDC', 'MAP1A', 'RPL24', 'SMAD3', 'DAB2', 'HSPG2', 'SLC25A3', 'CLTC', 'HNRNPU', 'SPTBN1', 'IL5RA', 'ANK2', 'OCRL', 'RPL18A', 'DST', 'KRT17', 'SSBP1', 'REL', 'CD164', 'MST1R', 'YWHAH', 'DNM1', 'PTPN12', 'PTK2', 'PTPN11', 'BTK', 'PSME1', 'PRDX1', 'RPL18', 'KHDRBS1', 'PPARA', 'SOS1', 'SOS2', 'TNK2', 'AES', 'PPP3CA', 'DHX9', 'LGALS3BP', 'PDE4D', 'ITK', 'EP300', 'AHNAK', 'INCA1', 'NEXN', 'ARHGEF5', 'ILF3', 'PTPRJ', 'EPS8', 'AKAP6', 'FLII', 'PDIA2', 'LCP2', 'IK', 'PAK1', 'MAP2K5', 'PAK2', 'CBLB', 'MAP3K1', 'NR5A1', 'GRB10', 'SNTA1', 'ADAM15', 'GAB1', 'TUBB3', 'CAMK2D', 'DCTN2', 'IRF5', 'CUL3', 'TP53BP2', 'SHROOM2', 'SPTAN1', 'DDX39B', 'RAPGEF1', 'CKAP5', 'HNRNPD', 'DAG1', 'SAFB2', 'ARHGEF7', 'IKBKE', 'DOCK1', 'DCTN1', 'DYNC1H1', 'E2F2', 'LY6D', 'CTTN', 'PTK2B', 'FLNC', 'KRT33B', 'KRT32', 'KRT81', 'ITPR3', 'ITIH4', 'FAM175B', 'ACAP1', 'SNX17', 'AGER', 'PLEC', 'PON2', 'NONO', 'ERBB4', 'SF3B4', 'SHB', 'SS18', 'HMGN3', 'ELAVL1', 'MYLK', 'TAB1', 'RBBP7', 'DBN1', 'FSCN1', 'UGP2', 'SMU1', 'LRRK1', 'TMEM128', 'ZMAT1', 'PPP6R3', 'SH3D19', 'ZNF311', 'RALGPS1', 'WDR44', 'SPECC1', 'LY6G6F', 'CEP170', 'ODR4', 'PLEKHS1', 'UBR4', 'KPRP', 'SH3PXD2A', 'RIF1', 'ARL6IP4', 'ARHGAP17', 'SPECC1L', 'HIST2H2AA3', 'HIBCH', 'C1orf94', 'TRAT1', 'SMARCD3', 'MPRIP', 'PIK3AP1', 'FGD6', 'SH2D5', 'KIAA1549L', 'USP53', 'GAREM2', 'RHOU', 'DPPA4', 'DOK3', 'MYH14', 'RBBP6', 'ABI3BP', 'CLNK', 'NEK8', 'RIMS1', 'STK32C', 'LUZP1', 'SKAP1', 'DTX1', 'KRT73', 'AEBP1', 'MAP4K3', 'RP1L1', 'LAX1', 'ARHGAP12', 'HOMEZ', 'ASXL1', 'PHC2', 'TCEAL8', 'PHACTR4', 'PRR22', 'RPUSD2', 'DOCK3', 'ABI1', 'WDFY3', 'DOCK4', 'THEMIS', 'SYNPO', 'LNX2', 'RNF10', 'WBSCR27', 'PACRGL', 'SERBP1', 'REPS2', 'MYRIP', 'OLIG1', 'SMARCC2', 'RIN3', 'LNX1', 'SHKBP1', 'MICAL1', 'LMX1A', 'FBF1', 'UBASH3B', 'WIPF2', 'FRS2', 'PDCD6IP', 'BLNK', 'SPRYD4', 'LMO7', 'GAB3', 'NELFB', 'SOCS4', 'MYO3B', 'SHC3', 'PIK3R3', 'MYO18A', 'TFG', 'USP6NL', 'HTRA1', 'ARPC1A', 'KRT35', 'INPP5D', 'DDX17', 'MAP4K1', 'SMARCC1', 'SMARCD2', 'RAB1C', 'RAB8B', 'PTPRN2', 'BAD', 'EXTL1', 'KHSRP', 'GCDH', 'FOXJ1', 'KCNN1', 'KCNB2', 'PRG4', 'TNFRSF14', 'SLCO2A1', 'RIT1', 'SNAPC3', 'PEX13', 'TNPO1', 'DLX4', 'HIST1H2BH', 'NKD2', 'PBXIP1', 'SH3KBP1', 'AP2M1', 'MSI2', 'RBM33', 'DNAJA3', 'CYFIP2', 'OTUD5', 'ZNF274', 'DCUN1D1', 'SMARCD1', 'SCARF2', 'FUBP3', 'PAWR', 'KIRREL', 'RADIL', 'ELMO2', 'EHMT2', 'ASB16', 'NAP1L5', 'PRAP1', 'ARAP1', 'PNMA5', 'PANX2', 'SNX18', 'NR1H4', 'VPS13A', 'PPP1R9B', 'CRBN', 'SPEN', 'CSF3R', 'GAD1', 'MYCBP', 'CYTH2', 'P2RX7', 'RIT2', 'DOK1', 'TSG101', 'CCT7', 'PTPN18', 'GRWD1', 'SLX1A', 'FAM110A', 'WDR77', 'TUBA1C', 'CORO1B', 'LZTS2', 'ZKSCAN3', 'ARHGAP9', 'UQCC2', 'TTYH2', 'C11orf84', 'TRAIP', 'APOL5', 'SHANK3', 'UACA', 'CD244', 'SPRY4', 'GRIP2', 'STRADB', 'NIF3L1', 'LAT2', 'RACGAP1', 'KIF13A', 'DUSP15', 'MED28', 'CHRD', 'PTPN23', 'HIPK3', 'MAP1LC3A', 'SUV39H2', 'GAREM1', 'SH2D4A', 'PEAK1', 'DOCK5', 'AUNIP', 'ECT2', 'PSTPIP2', 'ISG20L2', 'POLR1B', 'TRIM39', 'WDR6', 'MLXIPL', 'MYOZ1', 'PARD6A', 'MEPE', 'PDLIM7', 'SH2B1', 'DROSHA', 'RAB6B', 'ARHGAP35', 'KCNH7', 'KRT82', 'CCM2L', 'ATAD3A', 'PAG1', 'BABAM1', 'BRE', 'BCLAF1', 'EURL', 'TMOD3', 'CELSR3', 'IGF2BP1', 'GLTSCR1', 'NCKIPSD', 'SEPN1', 'HACD3', 'RAI14', 'DLGAP2', 'RCC2', 'SLAIN2', 'ABI3', 'ARHGAP20', 'ONECUT1', 'EPS15L1', 'MYO1A', 'DNAJB11', 'GABBR1', 'LIMA1', 'SLC23A1', 'BAZ2A', 'ERRFI1', 'SLC25A13', 'TSKS', 'IKZF3', 'VAV3', 'PNMA2', 'HCN2', 'TAOK2', 'BRPF3', 'ASAP1', 'KIF26A', 'CORO1C', 'TPX2', 'MYO6', 'ALK', 'KMT2B', 'SNX12', 'SNX7', 'PSMD13', 'SHANK2', 'DNM3', 'RIMS2', 'NEU3', 'GAB2', 'SH2B3', 'RUVBL2', 'POMP', 'RUVBL1', 'CFL2', 'DRG1', 'NCKAP1', 'AKAP2', 'DLGAP4', 'NISCH', 'GSTK1', 'PTPN22', 'POLR1D', 'THRAP3', 'WBP11', 'GIT1', 'STARD10', 'LUC7L2', 'HDGFRP3', 'RPL36', 'PRKAB1', 'KIF3A', 'IRS2', 'MAP4K5', 'AP4S1', 'PCDHB5', 'CD2AP', 'SNX8', 'GPR45', 'LRRFIP2', 'FHOD1', 'NFS1', 'SCIN', 'NUTM2F', 'SH3PXD2B', 'TESPA1', 'CNOT1', 'WIPF3', 'ARHGAP32', 'MYO1C', 'PSMD11', 'F2RL2', 'TULP1', 'WASL', 'PIK3R2', 'PSMD14', 'BIN1', 'PIK3C2B', 'DLGAP1', 'SH2B2', 'NCKAP5', 'PTPRT', 'ABLIM1', 'DVL2', 'IRS4', 'ADAM10', 'PRMT5', 'TCERG1', 'PLD2', 'MYL12B', 'HGS', 'PPP1R12A', 'SYNJ2', 'SYNM', 'ARHGEF11', 'FYB', 'ARPC2', 'ARPC3', 'ZBTB7B', 'CASC3', 'CTAGE5', 'INPPL1', 'FANCA', 'EIF3D', 'ARPC5', 'SOCS1', 'ASAP2', 'PLXNB1', 'PHGDH', 'EFS', 'DAPK3', 'SRGAP3', 'HNRNPR', 'SYNJ1', 'TGOLN2', 'WIPF1', 'LAT', 'SPRY2', 'SPRY1', 'ACTN4', 'GSTZ1', 'KRT86', 'MYO1B', 'PRICKLE3', 'EXTL3', 'AIRE', 'MED14', 'SMARCA5', 'SNX3', 'SYNCRIP', 'DIAPH1', 'TSPAN2', 'JAK2', 'UGDH', 'SLC24A1', 'DNAJA2', 'BRD4', 'CUTA', 'WDR1', 'CLASP2', 'PHACTR2', 'USP12', 'SEMA7A', 'PDCD6', 'FLNB', 'SRSF10', 'SKAP2', 'FOXH1', 'SNRNP200', 'TOM1L1', 'PPM1B', 'KRT33A', 'KRT34', 'KRT36', 'CLPX', 'CDKL5', 'NFASC', 'ABLIM3', 'AP2A2', 'CELF2', 'IPO7', 'TIAF1', 'SVIL', 'NADK', 'STAMBP', 'ESRRB', 'AP2A1', 'BAG3', 'GPANK1', 'DLGAP3', 'ACTL6A', 'ABL1', 'EGFR', 'HP', 'AGT', 'A2M', 'KRT14', 'KRT6A', 'LMNA', 'APCS', 'APOH', 'FN1', 'RBP4', 'AMBP', 'AHSG', 'GC', 'TF', 'FTL', 'FTH1', 'MT-ND4', 'MT-ATP8', 'KRT1', 'SHBG', 'GAPDH', 'ERBB2', 'NTRK1', 'TP53', 'HSPB1', 'APP', 'S100A8', 'SLC25A5', 'HMGN2', 'RPLP2', 'TFAP2A', 'KRT18', 'KRT8', 'CSN2', 'INSR', 'GSN', 'RB1', 'S100A9', 'S100A6', 'ENO1', 'NPM1', 'FABP1', 'H1F0', 'CSF1R', 'ANXA2', 'TUBB', 'PRSS1', 'ADRB2', 'BPGM', 'HSP90AA1', 'HNRNPC', 'RET', 'TPM2', 'FH', 'SP1', 'ANXA6', 'CHRM4', 'HSP90AB1', 'SYP', 'ITGA2B', 'MET', 'ADRB1', 'CFH', 'VIM', 'KRT19', 'KRT7', 'KRT16', 'GSTP1', 'GSTM1', 'TPM1', 'PDGFRB', 'DLD', 'HNRNPA1', 'ALOX5', 'UBB', 'UBC', 'HSPA1A', 'HSPA1B', 'AR', 'RRAS', 'PRKAR1A', 'KIT', 'CD28', 'ESD', 'HSPD1', 'CLU', 'GHR', 'HSPA5', 'MAP2', 'HSPA8', 'BCR', 'PABPC1', 'NEFH', 'COX6A1', 'SLC25A4', 'SLC25A6', 'IMPDH2', 'ACTN1', 'SRC', 'XRCC6', 'ITGA4', 'EEF2', 'KRT10', 'KRT5', 'C6', 'PLS3', 'CD59', 'GFAP', 'SELL', 'HCLS1', 'TRIM27', 'PKM', 'IL2RB', 'DARS', 'VAV1', 'GNS', 'MUC1', 'CBR1', 'PDGFRA', 'PPP3CB', 'NCK1', 'PLCG2', 'ZNF32', 'SYN1', 'DDX5', 'TCP1', 'PTPN1', 'RPL35A', 'RPL7', 'PTPRA', 'PDE6G', 'KRT15', 'MYL12A', 'PLCG1', 'EPOR', 'VCAM1', 'NCL', 'TNFRSF1A', 'CD22', 'CAST', 'RASA1', 'GSTM3', 'CSRP1', 'FLNA', 'TAF1', 'FGFR2', 'RYR1', 'ERBB3', 'DRD4', 'PCMT1', 'UBA1', 'ALAS2', 'FGFR3', 'HNRNPA2B1', 'CBL', 'RPS3', 'JAK1', 'PTPRE', 'MCC', 'CFL1', 'PAX3', 'POLR2A', 'ACKR3', 'NFYB', 'ATP5A1', 'LMO2', 'DDX6', 'RPL13', 'PTBP1', 'EEF1G', 'IL3RA', 'CNTFR', 'CRYBB3', 'YWHAQ', 'RPL10', 'CAD', 'PIK3R1', 'POLD1', 'PTPN4', 'EPHA2', 'PTPN6', 'SHC1', 'EEF1D', 'RPL12', 'ECHS1', 'CDC27', 'AXL', 'HOXC8', 'IL2RG', 'HNRNPH1', 'YWHAB', 'FCGR2B', 'FCGR2C', 'CCKBR', 'DUT', 'CKS2', 'SHMT2', 'HSPA1L', 'DRD3', 'KRT9', 'FAU', 'IRS1', 'MYH9', 'MYH10', 'FUS', 'MYH11', 'KRT2', 'FLT4', 'KDR', 'PSMC2', 'RPL4', 'PPP1CC', 'FLT3', 'DLST', 'SRP14', 'HSPA9', 'EIF4A3', 'RPS19', 'RPL3', 'IL6ST', 'USP8', 'ETV6', 'CSK', 'ELK3', 'TMPO', 'PIK3CA', 'PIK3CB', 'EPS15', 'CASP2', 'TEC', 'ABL2', 'HELZ', 'WAS', 'HTT', 'SLC1A2', 'MATR3', 'ZAP70', 'SYK', 'NKX2-1', 'MAPK9', 'CCR10', 'CRK', 'CRKL', 'CDKN1B', 'BRCC3', 'RPL27A', 'RPL21', 'RPS9', 'RPS5', 'IQGAP1', 'CAPZB', 'ID4', 'FASLG', 'LEPR', 'PRRC2A', 'CCT5', 'PXN', 'CCT3', 'TUFM', 'SRP9', 'MCM2', 'YLPM1', 'TSC2', 'SERPINH1', 'VASP', 'DNM2', 'CCT8', 'CCT4', 'BRCA2', 'HSD17B4', 'KCNQ1', 'AFF2', 'KPNA2', 'HNRNPF', 'VAV2', 'PPP5C', 'COPB1', 'AP2S1', 'RARS', 'EPHB1', 'VCP', 'MFAP4', 'HADHB', 'MLLT4', 'HNRNPH2', 'BCAR1', 'HUNK', 'GJA9', 'EPPK1', 'C21orf58', 'ARPC4', 'MYL6', 'ACTB', 'EIF4A1', 'RPS20', 'CDC42', 'GMFB', 'ACTR3', 'ACTR2', 'RPS3A', 'RPL26', 'RPL27', 'B2M', 'HNRNPK', 'YWHAG', 'PPP1CA', 'PPP1CB', 'CALM1', 'RPS8', 'RPS15A', 'RPS16', 'YWHAE', 'RPS14', 'RPS23', 'RPS18', 'RPS13', 'RPS11', 'SNRPD2', 'RAB11A', 'RPL23A', 'HIST1H4A', 'RPL23', 'RPS25', 'RPS26', 'RPS28', 'FAU', 'RPL30', 'RPL31', 'PPIA', 'RPS27A', 'UBA52']
GRB7	['SETDB1', 'LY6G6F', 'LAX1', 'KCTD6', 'FLAD1', 'OLIG1', 'RND1', 'DOCK7', 'PHAX', 'TRIM36', 'KMT2B', 'AGAP1', 'HAX1', 'DYNC1I1', 'ZNHIT1', 'CPNE6', 'FGB', 'A1BG', 'ERBB2', 'INSR', 'ATP5B', 'NPM1', 'RET', 'MET', 'PDGFRB', 'AR', 'KIT', 'PDHB', 'PKM', 'RPS2', 'ERBB3', 'SFN', 'MSH2', 'EPHB1', 'HADHB', 'CALM1', 'TMSB4X', 'GNB2', 'TLE1', 'PTK2', 'ZBTB16']
GREB1	['PALB2', 'RB1CC1', 'TFAP2C', 'XRCC3', 'HMMR', 'BCAR3', 'FOS', 'HRAS', 'TGFB1', 'ESR1', 'JUN', 'RARA', 'RARG', 'GATA3', 'LSP1', 'STAT1', 'CDKN2C', 'FOXA1', 'PRKDC', 'EP300', 'SMAD4', 'CASP8', 'MED1']
GREB1L	['MOV10', 'NXF1']
GREM1	['KDR', 'YWHAH']
GRHL1	['GRHL3']
GRHL2	['GRHL3', 'APP', 'LMO4']
GRHL3	['PRMT6', 'PRMT1', 'GRHL1', 'PRMT5', 'GRHL2']
GRHPR	['NXF1', 'GLS2', 'CDC7', 'LSM1', 'FOS', 'UBC', 'HNF1A', 'TAF1', 'HNF4A', 'PTH2R', 'LIG4', 'MAX', 'MOV10']
GRIA1	['GRIA2', 'NEDD4', 'GRIA4', 'USP46', 'RAB11A', 'DLG1', 'GRIK2', 'SQSTM1', 'HOMER1', 'EPB41L1', 'PICK1', 'ANAPC2', 'FZR1', 'GRIP1', 'MYO5A', 'CACNG2', 'SDCBP', 'GRID2', 'EPB41L2', 'UBC', 'PRKACA', 'CXCR2']
GRIA2	['NSF', 'NDUFV3', 'RAB11A', 'DLG4', 'TXNL4A', 'SPTBN1', 'GRIK2', 'REST', 'KCNAB2', 'NCOA4', 'SPTAN1', 'GRIK5', 'DGUOK', 'DPP9', 'GTF3C2', 'POM121', 'TSPYL2', 'PICK1', 'DNAAF2', 'NUFIP1', 'TRMT6', 'GRIP1', 'MYO5A', 'CACNG2', 'HAX1', 'SDCBP', 'GRID2', 'ECD', 'ATP5F1', 'GRIA1']
GRIA3	['DLG4', 'PICK1', 'GRIP1', 'SDCBP', 'ADRB2']
GRIA4	['PICK1', 'CAMK2A', 'GRIP1', 'CACNG2', 'SDCBP', 'PTBP3', 'PRKCG', 'PRKACA', 'GRIA1']
GRID1	['DEF6']
GRID2	['PTPN4', 'GRIA1', 'GRIA2', 'GRIK2', 'GRIK5', 'GOPC', 'GRID2IP']
GRID2IP	['GRID2']
GRIK1	['DLG4', 'HOMER1', 'PICK1', 'GRIP1', 'SDCBP', 'UBC']
GRIK2	['TRIM25', 'GRIK5', 'DLG3', 'PICK1', 'CALCOCO1', 'GRIP1', 'SDCBP', 'GRID2', 'PARK2', 'PPP3CB', 'GRIA1', 'GRIA2', 'PPP3R1', 'DLG4', 'DLG1']
GRIK3	['GRIK5', 'PICK1', 'GRIP1', 'SDCBP', 'HNF4A']
GRIK4	['RAB5A']
GRIK5	['LRSAM1', 'GOLM1', 'DLG3', 'GPAA1', 'GRID2', 'GRIA2', 'MLF1', 'DLG4', 'GRIK2', 'GRIK3']
GRIN1	['GRIN2A', 'TIAM1', 'GRIN2B', 'CAMK2G', 'SPTAN1', 'PLCB4', 'ERBB4', 'LNX1', 'GRIN3A', 'GRIN3B', 'MT-ND2', 'FYN', 'PRKCA', 'ACTN2', 'DLG4']
GRIN2A	['DLG1', 'SPTAN1', 'IL16', 'PTK2B', 'DLG2', 'DLG3', 'DLGAP1', 'GRIN3B', 'FYN', 'UBC', 'SRC', 'PTPN4', 'AKT1', 'NEDD4', 'DLG4', 'GRIN1']
GRIN2B	['CAMK2G', 'SPTAN1', 'IL16', 'DLG2', 'MAGI3', 'DLG3', 'EXOC4', 'MIB2', 'ERBIN', 'LIN7B', 'KDM5B', 'EXOC7', 'CAMK2A', 'ARHGAP32', 'LIN7A', 'PARK2', 'EXOC3', 'FYN', 'CAPN1', 'PTPRC', 'UBC', 'PRKCA', 'PTPRB', 'PTPRG', 'ACTN2', 'RACK1', 'DLG4', 'PTPN12', 'GRIN1', 'PTPRJ', 'DLG1']
GRIN2C	['DLG3', 'ERBIN', 'DLG4', 'IL16']
GRIN2D	['UBC', 'HNF4A', 'CRK', 'NEDD4', 'VCP', 'DLG4', 'RBL2', 'IL16', 'E2F4']
GRIN3A	['UBC', 'CEBPA', 'GRIN1']
GRIN3B	['GRIN1', 'GRIN2A']
GRIP1	['NUMBL', 'GPR37', 'ESR1', 'NR3C1', 'UBC', 'AR', 'NR2F1', 'THRA', 'VDR', 'RXRA', 'PSMB9', 'RXRB', 'YWHAB', 'PPARG', 'GRIK1', 'GRIA1', 'GRIA2', 'GRIA3', 'GRIA4', 'FNTB', 'PRLHR', 'EFNA5', 'UBE2I', 'HIST1H3A', 'SMAD3', 'EP300', 'GRIK2', 'GRIK3', 'FLII', 'HDAC1', 'GRM2', 'IRF3', 'NCOA6', 'GRM7', 'GRM3', 'NCOA1', 'ZYX', 'LRRFIP1', 'GRIPAP1', 'KANK2', 'CEP135', 'CSPG4', 'CARM1', 'DZIP3', 'CREBBP', 'EHMT2', 'PRMT1', 'B9D2', 'PRKD2', 'LATS2']
GRIP2	['GIT1', 'ERC2', 'ABL1', 'CRK', 'PRLHR', 'GRB2', 'PPFIA1', 'NECTIN1', 'GFI1B', 'CSPG4']
GRIPAP1	['CCDC183', 'DISC1', 'ARL15', 'GRIP1', 'TCP10L2', 'CCNT1', 'HSPB1', 'UBC', 'SPP1', 'RAB4A', 'UBA1', 'CASP3', 'UBE2N', 'MAP3K1', 'UBE2V1']
GRK1	['SNCB', 'H2AFV', 'SNCG', 'RHO', 'RCVRN', 'SNCA', 'CAV1']
GRK4	['HNF4A', 'NEDD4', 'MAX', 'CALM1', 'E2F1', 'IKBKG', 'MYC', 'HSP90AA1', 'HSP90AB1', 'UBC', 'TAF1', 'FSHR']
GRK5	['RCVRN', 'MYH9', 'MYH10', 'PSMC2', 'RPL4', 'DLST', 'AVPR1A', 'SNCA', 'EIF4A3', 'RPL3', 'EIF2S3', 'SKIV2L2', 'LRPPRC', 'PIP4K2A', 'ARRB1', 'TUFM', 'AP3M2', 'HADHB', 'GEMIN4', 'COPS2', 'LYZ', 'YWHAG', 'CALM1', 'PSMC1', 'PSMC6', 'RBX1', 'YWHAZ', 'PPP2R2A', 'SKP1', 'EEF1A1', 'PRKDC', 'ARF1', 'HNRNPU', 'SPTBN1', 'OTUD4', 'CAV1', 'C1QBP', 'SRSF1', 'DHX9', 'NCBP1', 'ILF3', 'PSMD2', 'PPIG', 'TCOF1', 'MYO9B', 'CUL4A', 'CUL4B', 'SPTAN1', 'CKAP5', 'EIF3A', 'KANK1', 'BMS1', 'KPNB1', 'NOLC1', 'EFTUD2', 'STK38', 'TAB1', 'SNCB', 'DDB1', 'CDC37', 'PPP6R3', 'SPIN3', 'KANK2', 'LARP1', 'WDR82', 'DHX30', 'MAEA', 'ABI3BP', 'ALYREF', 'PPFIBP1', 'SPATA31A7', 'PNPLA6', 'FTSJ3', 'SRRM1', 'DOCK4', 'ABCF1', 'GOT1L1', 'TNFAIP8L1', 'MADD', 'DDB2', 'MRPS27', 'GLG1', 'USP9X', 'NAF1', 'DCAF5', 'USP47', 'FMNL2', 'RANBP9', 'SRPK1', 'SIN3A', 'MMS19', 'GRWD1', 'MYBBP1A', 'GINS4', 'COPS4', 'RAB11FIP5', 'UBE2O', 'WDR12', 'NAT10', 'PNN', 'MOV10', 'CWC22', 'DDX21', 'BAZ1A', 'OLA1', 'LYAR', 'TOR4A', 'KCTD5', 'BCLAF1', 'FAM120A', 'CABP1', 'KCMF1', 'ANKFY1', 'HDAC6', 'NXF1', 'COPS7A', 'DAXX', 'AFF4', 'MRTO4', 'ACIN1', 'SRRM2', 'RUVBL1', 'AP3M1', 'USP15', 'TBL2', 'CTDP1', 'SPIN1', 'MYO1C', 'AP3B1', 'PSMD11', 'CLIC1', 'SAP18', 'NFIB', 'AP3D1', 'U2SURP', 'DHX15', 'CAND2', 'SNCG', 'FRYL', 'AP2A2', 'AP2A1', 'MAP4K4', 'MYCN', 'HSP90AA1', 'RHO', 'HSP90AB1', 'UBC', 'NR2F1', 'BCR', 'PIP', 'XRCC5', 'EEF2', 'GYS1', 'JUP', 'UBTF', 'ARF4', 'NCL', 'TAF1', 'TBXA2R', 'CFL1', 'TACR1', 'YWHAQ', 'CALR', 'MAP4', 'SMARCA1', 'RBMS1', 'AVPR2', 'AGTR1', 'OXTR', 'MAT2A', 'AKT2', 'YWHAB', 'HSPA4']
GRK6	['MLF1', 'MAX', 'SNCB', 'DDB1', 'MMS19', 'CCDC8', 'KCNIP3', 'SNCG', 'PRSS23', 'ADRB2', 'HSP90AA1', 'HSP90AB1', 'ITGA5', 'UBC', 'TBXA2R', 'FSHR', 'GPR183', 'SHMT2', 'RCVRN', 'SNCA']
GRK7	['HSP90AA1', 'HSP90AB1', 'NEDD4']
GRM1	['HOMER1', 'OPTN', 'KPNA3', 'ADRBK1', 'ADORA1', 'HTT', 'TRPC1', 'KPNA1']
GRM2	['NAALADL2', 'SMARCC2', 'UBQLN1', 'GRIP1', 'SDCBP', 'SMARCA4', 'REST']
GRM3	['PICK1', 'GRIP1', 'SDCBP', 'PPM1A']
GRM5	['CALM1', 'PRKCZ', 'PRKCD', 'EVC2', 'HOMER1', 'SIAH1', 'HOMER3', 'CEP104', 'UBC', 'PRKCA']
GRM6	['CLK1']
GRM7	['PICK1', 'GRIP1', 'SDCBP', 'UBC', 'PRKCA', 'GNAQ']
GRN	['OTX1', 'CD68', 'NF2', 'FBN1', 'VHL', 'CTSO', 'CRKL', 'HOXA1', 'CDK9', 'CCNG1', 'HK3', 'ATN1', 'KRTAP10-7', 'GNB2', 'RAC1', 'PPP2CA', 'DLK1', 'HSPG2', 'TLE3', 'DLX2', 'CUL7', 'RPS6KA1', 'CRY1', 'ECM1', 'GFI1B', 'KRTAP26-1', 'ZC3HC1', 'DCP1B', 'CCDC33', 'ARFGAP1', 'ZFP41', 'SPACA4', 'FRAT1', 'FAM131C', 'FLYWCH2', 'OTUD5', 'AHCYL2', 'TRIB3', 'SORT1', 'PKP2', 'CCDC8', 'CLEC4M', 'SAV1', 'OBFC1', 'FBXO6', 'FAM207A', 'SIRT3', 'POT1', 'FANCL', 'HECW2', 'NLK', 'NXF1', 'EGFL7', 'PIK3R2', 'CACNA1A', 'SMAD9', 'ATXN7', 'PRKAB2', 'SGTA', 'CCNT1', 'EED', 'GLRX3', 'TOP3B', 'NAPSA', 'EGFR', 'SLPI', 'NTRK1', 'KRT18', 'NPM1', 'CELA2B', 'CFTR', 'COX6B1', 'TAT', 'TNFRSF1A', 'TNFRSF1B', 'TAF1', 'TGM2', 'CDK2', 'YY1']
GRPEL1	['MOV10', 'PRKAB1', 'NTRK1', 'JUN', 'IFIT1', 'UBC', 'ATF2', 'HLA-B', 'SHMT2', 'NF2', 'VHL', 'TERF1', 'EIF6', 'PPP2R2B', 'ICT1', 'CCAR1', 'GRPEL2', 'PALLD', 'SCLT1', 'DENND2D']
GRPEL2	['C7orf55', 'GRPEL1', 'YES1', 'UBC', 'DBT', 'MUT', 'ELAVL1', 'OXLD1', 'NDUFAF5', 'LYRM7', 'MRM1']
GRPR	['CEP250']
GRSF1	['MRPL28', 'TARDBP', 'CUL1', 'CUL2', 'CUL3', 'ICT1', 'RPS6KA2', 'NEDD8', 'MRPL2', 'TRMT10C', 'DHX30', 'MRPL21', 'CAND1', 'PNPT1', 'MRPS27', 'MRPS31', 'CUL5', 'MRPL24', 'PTCD3', 'MRPL48', 'HSD17B10', 'MRPL4', 'MRPS26', 'MRM3', 'MRPL47', 'MTPAP', 'NXF1', 'FTSJ1', 'MRPS28', 'MRPS7', 'ACOT9', 'MRPS2', 'MRPL11', 'CHCHD2', 'NME4', 'PSMD10', 'GABARAP', 'ATP5B', 'CISD3', 'UBC', 'BDKRB2', 'NF2', 'HSPA9', 'MDH2', 'HADHA', 'RPL28', 'ATP5O', 'HARS2', 'RPL14', 'DAP3', 'SUMO1', 'MRPS22', 'MRPS25', 'MRPS15', 'MRPS34', 'TFAM', 'C1QBP']
GRTP1	['UBC', 'NES']
GRWD1	['GABARAPL1', 'CDT1', 'MAP1LC3A', 'WDR26', 'MOV10', 'DTL', 'NXF1', 'XPO1', 'GABARAP', 'METTL18', 'ESR1', 'TP53', 'JUN', 'NPM1', 'UBC', 'GRK5', 'VHL', 'MNDA', 'HNF4A', 'HDGF', 'VCP', 'GABARAPL2', 'WDR5', 'GRB2', 'SUMO1', 'EWSR1', 'CUL1', 'CUL3', 'CUL4A', 'CUL4B', 'NEDD8', 'DDB1', 'IFI16', 'CAND1', 'WDR5B', 'CEP57', 'KMT2E', 'RFWD2', 'CEP76', 'DOT1L', 'COPS5', 'SNRNP40', 'MAP3K14']
GRXCR1	['PPP1CA']
GSAP	['APP', 'PSEN1', 'NCSTN', 'PSENEN']
GSC	['SMAD3', 'SMAD2', 'SMAD1', 'FOXA2']
GSDMA	['PARK2', 'FOXH1', 'CEP152', 'UBC', 'MCM2', 'SUZ12', 'IFI16']
GSDMB	['SERPINA1', 'AGT', 'ORM1', 'APP', 'HIVEP1', 'IGFBP2', 'PEBP1', 'CLK1']
GSDMD	['KCTD6', 'UBC']
GSE1	['RALBP1', 'TRIP6', 'ELAVL1', 'EXOSC6', 'RBM48', 'C1orf94', 'NUDT18', 'C6orf165', 'DOK4', 'TEKT4', 'HDAC2', 'RBPMS', 'CEP63', 'CDC5L', 'MTA3', 'HMG20A', 'HMG20B', 'RCOR3', 'TNIK', 'NINL', 'NR2E1', 'KDM1A', 'TULP3', 'SNAI1', 'NTRK1', 'FGF1', 'UBC', 'XRCC6', 'TCF4', 'TCF3', 'MAPK3', 'SRPK2', 'RUNX1T1', 'GOLGA2', 'HDAC1', 'DGCR6', 'BECN1']
GSG1	['IL37', 'TRAF2', 'ASAH1', 'E2F4']
GSG1L	['LXN']
