ABCG5
ABCG8
ACTA2
ACTB
ACTN1
ACVRL1
ADAMTS13
ANKRD26
AP3B1
ARPC1B
BLOC1S3
CBS
CDC42
CHST14
COL3A1
COL5A1
COL5A2
CYCS
DIAPH1
DTNBP1
ENG
EPHB2
ETV6
F10
F11
F13A1
F13B
F2
F5
F7
F8
F9
FBN1
FBN2
FERMT3
FGA
FGB
FGG
FLI1
FLNA
FOXE3
GATA1
GBA
GFI1B
GGCX
GNE
GP1BA
GP6
GP9
HOXA11
HPS1
HPS3
HPS4
HPS5
HPS6
HRG
IKZF5
ITGA2B
ITGB3
KDSR
KIF15
KLKB1
LMAN1
LOX
LYST
MAST2
MAT2A
MCFD2
MECOM
MED12
MFAP5
MPI
MPL
MYH11
MYH9
MYLK
NBEAL2
NOTCH1
P2RY12
PLA2G4A
PLAU
PRKACG
PRKG1
PTGS1
PTPN11
PTPRJ
RASGRP2
RBM8A
RUNX1
SERPINE1
SERPINF2
SKI
SLC2A10
SLC37A4
SMAD3
SMAD4
SRC
STIM1
TBXA2R
TBXAS1
TGFB2
TGFB3
TGFBR1
TGFBR2
THBD
THPO
TLN1
TNXB
TUBA8
TUBB1
VKORC1
VPS33B
VWF
WAS
WIPF1
APOLD1
C3
CFB
CFI
F12
GALE
NFE2
PIGA
PLAT
PLG
PROC
PROS1
SERPINC1
SERPIND1
STAB2
