ACAD8
ACADSB
ACAT1
ALDH6A1
AUH
BCAT2
BCKDHB
BCKDK
CLPB
DBT
DLD
DNAJC19
HIBCH
HMGCL
IVD
MCCC1
MCCC2
MMAA
MMAB
MMADHC
MUT
OPA3
PCCA
PCCB
PPM1K
SERAC1
TAZ
