MKX
DMPK
GFAP
AP2S1
HRAS
TRIM23
MAGEL2
DEAF1
FMR1
TRAF7
EIF3G
NR3C2
PAX5
GIGYF1
ARX
MSL3
CORO1A
CACNA2D3
CASZ1
HNRNPH2
KDM5B
NUP155
MECP2
UBR1
CHAMP1
GNAI1
PTEN
DNMT3A
DIP2A
UPF3B
SHANK2
PSMD12
SPAST
MAP1A
TEK
EBF3
LRRC4C
ACTB
CNOT3
MEF2C
ELAVL3
TM9SF4
KANSL1
TCF7L2
GABRB2
VEZF1
WAC
SYN1
KCNQ3
ARHGEF9
PTK7
NAA15
IRF2BPL
LDB1
KCNB1
PHF12
NACC1
IQSEC2
RORB
NR4A2
BAZ2B
TBL1XR1
TSHZ3
BRSK2
ASXL3
PPP5C
PPP1R9B
RELN
CAPRIN1
PCDH19
PRR12
CSDE1
PPP2R5D
PHF3
SRCAP
AFF2
PHF21A
TCF20
ZBTB20
HDLBP
GABRB3
FOXP1
PACS1
PHF2
KIAA0232
MEIS2
TLK2
DDX3X
CUL3
SIN3A
SKI
HNRNPU
DPYSL2
CIC
NLGN4X
AHDC1
SLC6A1
SLC9A6
SETBP1
CDKL5
CTCF
SETD5
RIMS1
DYRK1A
SOX5
SATB1
CELF4
KMT2E
KDM6B
NLGN3
TBR1
PTPN11
KDM3B
TAOK1
STXBP1
DLG4
RAI1
MED13
KDM5C
TSC2
SHANK3
DSCAM
BCL11A
HECTD4
SON
CACNA1E
MBD5
HIVEP2
TCF4
POGZ
CTNNB1
EHMT1
FOXP2
RFX3
ZNF292
NLGN2
SCN1A
SMARCC2
CACNA1C
TRIP12
SMARCA2
NCOA1
ZMYND8
NRXN2
ANKRD11
GRIA2
GIGYF2
TANC2
SCN8A
AUTS2
ZNF462
MYT1L
NF1
SETD2
KMT2C
ARID1B
PHIP
CHD3
CASK
NCKAP1
NRXN3
CHD7
UBE3A
TSC1
BRAF
MED13L
WDFY3
SYNGAP1
ANK3
ADNP
NRXN1
DYNC1H1
NSD1
ATRX
RERE
EP300
CACNA1A
TRIO
SCN2A
GRIN2B
CHD8
ASH1L
USP9X
ANK2
KMT2A
NIPBL
CREBBP
CHD2
SMARCA4
NBEA
