AARS
ADARB1
ADD3
AFF3
AGMO
AKT3
AP3B2
AP4B1
AP4E1
AP4M1
AP4S1
ARCN1
ARFGEF2
ASPM
ATP1A2
ATR
ATRIP
ATRX
AUTS2
BCAS3
BLM
BPTF
BRCA2
BRD4
BRF2
BRIP1
BUB1
BUB1B
C14orf80
C7orf43
CAMK2B
CAMSAP1
CASK
CCDC84
CCDC88A
CCND2
CDC6
CDK13
CDK5RAP2
CDK6
CDKL5
CDO1
CDT1
CENPE
CENPF
CENPJ
CEP135
CEP55
CEP63
CHAMP1
CHD4
CHKA
CIT
CKAP2L
CLDN5
CLTC
COASY
COG3
COPB1
COPB2
CPSF3
CREBBP
CRIPT
CRNKL1
CSMD1
CSNK2A1
CTCF
CTNNA2
CTNNB1
CYHR1
DCAF15
DDX3X
DHCR7
DIAPH1
DNM1L
DNMT3A
DOHH
DONSON
DPM1
DPP6
DRG1
DROSHA
DYNC1I2
DYRK1A
EFTUD2
EHMT1
EIF2S3
EIF5A
ERCC4
ERCC5
ERCC6
ERCC8
EXOC7
FANCA
FANCB
FANCC
FANCD2
FANCE
FANCF
FANCG
FANCI
FANCL
FBRSL1
FDXR
FILIP1
FLVCR1
FOXG1
FOXR1
FRA10AC1
FRMD4A
GABRB2
GABRB3
GINS3
GMNN
GOLGA2
GPKOW
GPT2
GRM7
GTPBP1
GTPBP2
HDAC8
HHAT
HIST1H4C
HIST1H4E
HPDL
IARS
IER3IP1
IGF1
IGF1R
INPP4A
KBTBD2
KCNJ6
KCNK3
KIF11
KIF14
KIF15
KIF21B
KIF26B
KIF2A
KLHL7
LAGE3
LARP7
LHX2
LIG4
LINGO1
LMNB1
LMNB2
MCM6
MCM7
MCPH1
MECP2
MED17
MFSD2A
MINPP1
MORC2
MSMO1
MTSS1L
MYCN
MYH10
NAA20
NACC1
NALCN
NAPB
NARS
NAT8L
NBN
NCAPD2
NCAPD3
NCAPH
NDE1
NDUFA2
NHEJ1
NIN
NIPBL
NSMCE2
NSRP1
NUF2
NUP107
NUP37
ORC1
ORC4
ORC6
OSGEP
PARP6
PCDH12
PCGF2
PCNT
PDCD6IP
PDHA1
PHC1
PIGH
PIP5K1C
PLK1
PLK4
PNKP
PNPLA8
POC1A
POGZ
POLE
POMT1
PPFIBP1
PPIL1
PPP1R15B
PPP2R1A
PQBP1
PRIM1
PTPN23
PUF60
PUS7
RAB18
RAB3GAP2
RABGAP1
RAC1
RAD21
RARS2
RBBP8
RBL2
RGS6
RNF113A
RPL10
RRP7A
RTTN
SARS
SASS6
SEC31A
SETD2
SHMT2
SLC1A4
SLC25A19
SLC2A1
SLC38A3
SLC4A10
SLC9A6
SLX4
SMARCA5
SMC1A
SMC3
SMC5
SMO
SNAPC4
SOX11
SOX5
SPATA5
SPATA5L1
STAG1
STAMBP
STIL
SV2A
TAF2
TAF8
TBC1D20
TBCD
TCF4
THUMPD1
TM2D3
TMEM222
TNPO2
TOP3A
TP53RK
TPR
TPRKB
TRA2B
TRAIP
TRAPPC10
TRAPPC12
TRAPPC6B
TRAPPC9
TRIO
TRIP13
TRIT1
TRMT10A
TSEN15
TSEN2
TSEN34
TSEN54
TTC5
TTI1
TTI2
TUBB2B
TUBGCP2
TUBGCP4
TUBGCP6
UBA5
UBE3A
UBE3B
UFC1
UFM1
UGGT1
UGP2
UNC80
USP18
VARS
VPS4A
VRK1
WARS
WDFY3
WDR11
WDR37
WDR4
WDR47
WDR62
WDR73
WLS
WNK3
WSB2
XRCC4
YIF1B
YIPF5
ZEB2
ZNF335
ZNF526
ZNF668
ZNHIT3
