ABCB7
ACD
ADH5
AK2
ALAS2
ANKRD26
BRCA1
BRCA2
BRIP1
C15orf41
CDAN1
CSF3R
CTC1
CXCR4
DKC1
DNAJC21
DUT
ELANE
ERCC4
ERCC6L2
ETV6
FANCA
FANCB
FANCC
FANCD2
FANCE
FANCF
FANCG
FANCI
FANCL
FANCM
FECH
G6PC3
GATA1
GATA2
GFI1
GIMAP5
GLRX5
HAX1
HEATR3
HOXA11
JAGN1
KIF23
KLF1
LIG4
MAD2L2
MASTL
MECOM
MPL
MYH9
MYSM1
NBEAL2
NOP10
NPM1
PALB2
PARN
PSTPIP1
PTPN13
PUS1
RAD51C
RBM8A
RFWD3
RPA1
RPL11
RPL15
RPL31
RPL35A
RPL5
RPL9
RPS19
RPS20
RPS24
RPS29
RTEL1
RUNX1
SAMD9
SAMD9L
SBDS
SEC23B
SLC19A2
SLC37A4
SLX4
SMARCAL1
SRP54
SRP72
TAZ
TERT
TINF2
TLR8
TP53
TSR2
TYMS
UBE2T
VPS45
WAS
WIPF1
WRAP53
XRCC2
