ABHD12
ADA
ADAM17
ADAMTS10
ADAMTS17
ADAMTSL4
ADD3
AGK
AGPS
AICDA
AKR1E2
ALDH18A1
ANAPC1
BCOR
BFSP1
BFSP2
BTK
CD3G
CD40LG
CHMP4B
COG4
COL11A1
COL18A1
COL2A1
COL4A1
COL9A1
COL9A2
COPB1
CRYAA
CRYBA1
CRYBA4
CRYBB1
CRYBB2
CRYBB3
CRYGA
CRYGC
CRYGD
CRYGS
CTDP1
CYBA
CYBB
CYP27A1
CYP51A1
DCLRE1C
DHCR7
DNMBP
DOCK8
DPAGT1
DYRK1A
EED
EIF2B2
EPCAM
EPG5
EPHA2
ERCC2
ERCC3
ERCC6
ERCC8
FAM126A
FAR1
FBN1
FKRP
FKTN
FOXE3
FOXP3
FTL
FYCO1
GALK1
GALM
GALT
GCNT2
GEMIN4
GFER
GJA1
GJA3
GLS
GNPAT
GTF2H5
GUCY2C
HMX1
HPS1
HPS4
HPS6
HSF4
HTRA2
ICOS
IKBKG
IL10
IL10RA
IL10RB
IL2RG
INPP5K
INTS1
ITGB2
ITPA
JAM3
LCAT
LIG4
LIM2
LMX1B
LONP1
LRBA
LSS
MAF
MAN2B1
MED27
MIP
MSMO1
MYH9
NACC1
NCF2
NCF4
NDP
NF2
NHS
NSUN2
OAT
OCRL
OPA3
PANK4
PAX6
PEX1
PEX10
PEX11B
PEX12
PEX13
PEX14
PEX16
PEX19
PEX2
PEX26
PEX3
PEX5
PEX6
PEX7
PGRMC1
PIK3C2A
PIK3R1
PISD
PITX3
PLCG2
PLOD3
POLG
POMT1
POMT2
PSMC3
RAB18
RAB3GAP2
RAG2
RET
SH2D1A
SIL1
SKIV2L
SLC16A12
SLC2A1
SLC33A1
SLC37A4
SRD5A3
SREBF1
STXBP2
TDRD7
TFAP2A
TMEM70
TTC37
UBE2U
VIM
VSX2
WAS
WFS1
WRN
XIAP
XYLT2
ZAP70
ZNF526
COL4A2
FOSL2
GBF1
KAT2B
RGS6
RNH1
TAPT1
TRPM3
