AAAS
ABCB7
ABHD12
ACBD5
ACBD6
ACO2
ADPRHL2
AFG3L2
AGTPBP1
AHI1
ALDH5A1
AMPD2
ANO10
AP1S2
APTX
ARL13B
ARL6
ARMC9
ARSA
ATCAY
ATG5
ATG7
ATM
ATP1A3
ATP2B2
ATP2B3
ATP6V0A1
ATP8A2
BBS1
BBS10
BBS12
BBS2
BBS4
BBS5
BBS7
BBS9
BRAT1
C5orf42
CA8
CACNA1A
CACNA1G
CACNA2D2
CAD
CAMTA1
CAPRIN1
CASK
CBY1
CCDC28B
CEP290
CEP41
CHMP1A
CHP1
CLN5
CLN6
CLPP
COQ4
COX20
CSTB
CTBP1
CWF19L1
CYP27A1
CYP2U1
DAB1
DAGLA
DARS2
DDHD2
DHDDS
DNAJC19
DOCK3
EEFSEC
EIF2B1
EIF2B2
EIF2B3
EIF2B4
EIF2B5
ELOVL1
EPM2A
EXOSC3
EXOSC5
FA2H
FBXL4
FDXR
FGF14
FLVCR1
FOLR1
FRMD5
FXN
GBA2
GEMIN5
GJC2
GOSR2
GPAA1
GRID2
GRM1
GSS
HARS
HARS2
HEXA
HEXB
INPP5E
IRF2BPL
ITPR1
KCNA1
KCNA2
KCNC3
KCND3
KCNJ10
KCNN2
KCNQ2
KIF1C
KIF7
LAMA1
LARS2
LETM1
MAG
MAPK8IP3
MARS2
MKKS
MKS1
MMACHC
MORC2
MSTO1
MTFMT
MTPAP
MTTP
MVK
NHLRC1
NKX2-1
NKX6-2
NOVA2
NPC1
NPC2
NPHP1
NUBPL
OFD1
OPA1
OPA3
OPHN1
PAX6
PCDH12
PCNA
PEX16
PEX7
PHYH
PIGS
PIK3R5
PITRM1
PLA2G6
PMPCA
PMPCB
PNKD
PNKP
PNPLA6
POLG
POLR3A
POLR3B
POU4F1
PRDX3
PRICKLE1
PRKCG
PRRT2
PTRH2
RAB3A
RARS2
RFXANK
RNF216
RNF220
RORA
SACS
SAR1B
SCN1A
SCN2A
SCN8A
SCYL1
SETX
SIL1
SLC13A3
SLC17A5
SLC1A3
SLC25A46
SLC2A1
SLC44A1
SLC52A2
SLC9A1
SLC9A6
SNAP25
SNX14
SPR
SPTAN1
SPTBN2
SQSTM1
SRD5A3
STUB1
SUFU
SYNE1
SYNGAP1
TBC1D23
TBCE
TCTN1
TCTN2
TCTN3
TDP2
THG1L
TINF2
TMEM106B
TMEM138
TMEM216
TMEM231
TMEM237
TMEM67
TPP1
TPR
TRIM32
TSEN2
TSEN34
TSFM
TTC19
TTC8
TTI1
TTPA
TUBA1A
TUBA4A
TUBB2A
TUBB4A
UBA5
UBR4
UBTF
UCHL1
VLDLR
VPS13D
VPS41
VRK1
WARS2
WDPCP
WDR73
WDR81
WFS1
WWOX
XRCC1
ZNF423
ZNF592
