AIFM1
ALS2
ANG
ANXA11
ASAH1
ASCC1
ATL1
ATP7A
BICD2
BSCL2
CCNF
CHCHD10
CHMP2B
CYLD
DAO
DCTN1
DNAJB2
DNAJC7
DYNC1H1
ERBB4
ERLIN1
EWSR1
EXOSC8
FIG4
FUS
GBE1
GLT8D1
GNE
HEXA
HEXB
HNRNPA1
IGHMBP2
KIF5A
LAS1L
MATR3
NEK1
OPTN
PFN1
PLEKHG5
PRPH
REEP1
RNF13
SETX
SIGMAR1
SLC52A1
SLC52A2
SLC52A3
SOD1
SPAST
SPG11
SPG7
SQSTM1
SS18L1
TAF15
TARDBP
TBK1
TIA1
TRIP4
TRPV4
TUBA4A
UBA1
UBQLN2
UBQLN4
VAPB
VCP
VRK1
