ACTA1
ACTC1
ADAMTS10
ADAMTS15
ADCY6
ALG3
ANTXR2
AP1S2
ARX
ASCC1
ASXL1
ATAD1
ATP1A2
ATRX
B3GALNT2
B3GALT6
B3GNT2
BICD2
BIN1
CACNA1E
CACNA1S
CAMLG
CASK
CHAT
CHRNA1
CHRNB1
CHRND
CHRNE
CHRNG
CHST14
CNTN1
CNTNAP1
COASY
COG8
COL12A1
COL25A1
COL6A1
COL6A2
COL6A3
COLQ
CRLF1
CSMD1
DAG1
DCX
DHCR24
DNM2
DOK7
DPAGT1
DPM2
DYNC1H1
EBP
ECEL1
EIF2S3
ERBB3
ERCC5
ERCC6
ERCC8
ERGIC1
EXOSC3
FBN2
FGD1
FGFR2
FGFR3
FHL1
FILIP1
FKBP10
FKRP
FKTN
FLNA
FLNB
FLNC
FLVCR2
GBA
GBE1
GLDN
GLE1
GMPPB
GPC3
HS2ST1
HSPG2
IRF6
ISLR2
KAT6B
KCNK3
KIAA1109
KIF21A
KIF26B
KIF5C
KLHL7
KY
L1CAM
LAMA2
LGI4
LIFR
LMNA
LMOD3
LMX1B
MAGEL2
MED11
MED12
MET
MTM1
MUSK
MYBPC1
MYH2
MYH3
MYH7
MYH8
MYL1
MYLPF
MYO9A
NALCN
NEB
NEK9
NFATC2
NUP88
OFD1
ORAI1
PEX1
PEX10
PEX11B
PEX12
PEX13
PEX14
PEX16
PEX19
PEX2
PEX26
PEX3
PEX5
PEX6
PEX7
PFKM
PIEZO2
PIP5K1C
PLOD1
PLOD2
PMM2
POMGNT1
POMT1
POMT2
POR
PPP3CA
PRG4
PSMF1
RAPSN
RBM10
RIPK4
RYR1
SCARF2
SCN1A
SCYL2
SENP7
SKI
SLC18A3
SLC29A3
SLC35A3
SLC5A7
SLC6A9
SLC9A6
SMAD3
SMAD4
SMPD4
STAC3
STIM1
SYNE1
TBCD
TBX22
TGFB2
TGFB3
TGFBR1
TGFBR2
THOC2
TMEM5
TNNI1
TNNI2
TNNT1
TNNT3
TOR1A
TOR1AIP1
TPM2
TPM3
TRIP4
TRPV4
TSEN54
TTN
UBA1
UNC50
UNC80
USP14
VAMP1
VPS33B
VRK1
ZC4H2
ZIC3
ZMPSTE24
