experiment	comment	disease	mean_rank_unseen	median_rank_unseen	n_unseen_in_list	compare_from	num_targets_found	avg_precision	avg_reciprocal_rank_custom	fold_enrichment_top_1_pct	recall_top_1_pct	fold_enrichment_top_5_pct	recall_top_5_pct	fold_enrichment_top_10_pct	recall_top_10_pct	precision_at_10	recall_at_10	precision_at_25	recall_at_25	precision_at_50	recall_at_50	precision_at_100	recall_at_100	precision_at_250	recall_at_250	precision_at_1000	recall_at_1000	mean_rank_seen	median_rank_seen	n_seen_true_positives
Exp_DEE_KIGNN	Exp_DEE_KIGNN	dee	2714.5885	1417.0	192	2022_09	192	0.0736	0.01	6.7708	0.0677	7.2917	0.3646	5.5208	0.5521	0.2	0.0104	0.16	0.0208	0.1	0.026	0.09	0.0469	0.088	0.1146	0.081	0.4219	493.6046	498.5	736
Exp_DEE_KIGNN	Exp_DEE_KIGNN	dee	2714.5885	1417.0	192	2022_09	192	0.0736	0.01	6.7708	0.0677	7.2917	0.3646	5.5208	0.5521	0.2	0.0104	0.16	0.0208	0.1	0.026	0.09	0.0469	0.088	0.1146	0.081	0.4219	493.6046	498.5	736
